Date,QC,ON,AB,BC
Aug-20,"3,568,609","5,940,206","1,790,335","2,126,667"
Sep-20,"3,648,193","6,086,925","1,816,170","2,179,716"
Oct-20,"3,660,798","6,173,485","1,842,233","2,206,001"
Nov-20,"3,613,644","6,162,303","1,840,360","2,217,884"
Dec-20,"3,626,557","6,190,656","1,847,015","2,227,694"
Jan-21,"3,589,615","6,109,575","1,822,188","2,228,430"
Feb-21,"3,609,166","6,110,790","1,849,037","2,238,241"
Mar-21,"3,673,912","6,213,103","1,880,857","2,265,744"
Apr-21,"3,705,014","6,262,316","1,899,219","2,275,758"
May-21,"3,697,542","6,122,388","1,860,760","2,257,906"
Jun-21,"3,784,230","6,209,744","1,887,112","2,290,109"
Jul-21,"3,806,451","6,394,385","1,924,731","2,317,493"
Aug-21,"3,825,384","6,435,746","1,933,516","2,323,921"
Sep-21,"3,843,311","6,479,974","1,935,763","2,340,533"
Oct-21,"3,863,076","6,531,367","1,950,251","2,359,764"
Nov-21,"3,878,135","6,558,097","1,954,926","2,367,915"
Dec-21,"3,885,777","6,613,209","1,970,293","2,380,542"
Jan-22,"3,871,182","6,599,466","1,981,533","2,405,117"
Feb-22,"3,896,144","6,666,525","1,991,091","2,419,121"
Mar-22,"3,956,793","6,690,649","2,007,445","2,430,748"
Apr-22,"3,951,661","6,755,931","2,036,743","2,460,950"
May-22,"3,957,752","6,747,215","2,027,873","2,458,764"
Jun-22,"4,002,259","6,792,335","2,040,111","2,477,387"
Jul-22,"3,988,667","6,826,812","2,050,383","2,484,599"
Aug-22,"3,965,106","6,832,286","2,045,796","2,483,173"
Sep-22,"4,001,451","6,872,491","2,053,582","2,492,125"
Oct-22,"4,010,472","6,864,395","2,055,978","2,481,045"
Nov-22,"4,015,966","6,879,956","2,066,100","2,500,695"
Dec-22,"4,028,039","6,897,184","2,074,048","2,505,461"
Jan-23,"4,034,972","6,920,623","2,093,250","2,518,499"
Feb-23,"4,039,012","6,953,270","2,105,463","2,532,183"
