"Experimental estimates for business openings and closures for Canada, provinces and territories, census metropolitan areas, seasonally adjusted c 1 2"
"Frequency: Monthly"
"Table: 33-10-0270-01"
"Release date: 2023-04-25"
"Geography: Canada, Province or territory, Census metropolitan area"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industry","Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business dynamics measure","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active businesses 3","870,373","872,287","874,254","874,969","877,850","876,457","879,064","880,740","878,836","880,217","880,979","878,655","890,706","880,063","879,589","882,240","881,268","881,412","881,114","880,999","880,448","880,913","881,354","884,013","886,324","889,160","884,205","885,786","888,957","892,624","888,650","890,759","893,221","891,816","892,740","892,599","893,298","895,349","896,292","897,659","894,694","900,040","900,090","897,568","898,606","899,512","899,287","899,815","899,175","900,605","903,160","904,595","906,228","906,859","907,915","909,054","907,707","906,878","905,266","907,333","904,387","903,217","873,351","816,155","793,368","799,674","821,068","836,741","852,489","862,586","864,257","879,302","883,026","887,669","892,483","892,408","893,866","893,020","901,264","903,416","904,981","909,349","912,596","915,043","918,425","920,035","921,203","924,787","926,796","926,774","927,430","927,738","928,498","928,502","929,093","932,250","936,517"
"Opening businesses 4","42,406","42,564","38,913","40,071","40,859","37,615","41,282","39,584","33,128","41,203","43,076","38,264","42,666","40,017","40,830","41,853","39,986","38,128","44,532","40,406","36,644","41,972","47,339","42,239","40,149","41,285","41,111","41,453","41,942","43,267","37,080","42,461","42,706","39,319","38,685","41,045","40,479","41,762","42,995","40,639","40,428","45,810","39,875","42,202","42,619","43,138","59,074","41,724","42,634","42,619","43,050","42,245","44,349","44,643","43,172","40,794","41,122","40,577","41,750","41,670","41,536","36,644","34,727","37,548","48,325","61,761","63,829","50,238","49,390","49,221","46,972","46,995","44,898","44,431","44,733","42,280","39,334","43,159","45,468","41,397","41,935","43,177","43,842","42,433","44,887","45,673","44,757","45,163","43,838","42,859","43,505","43,777","42,773","42,371","42,552","42,631","41,154"
"Continuing businesses 5","821,063","831,239","838,729","835,303","837,192","840,316","837,619","841,563","842,759","839,710","838,402","841,820","842,453","841,022","841,143","840,744","841,731","844,879","836,843","840,876","841,547","839,642","835,244","841,381","842,838","848,774","844,690","844,511","847,885","849,954","851,066","849,257","849,114","852,498","854,064","851,687","851,221","853,472","853,054","855,615","853,961","853,870","860,333","855,971","855,232","856,897","844,553","857,285","855,881","857,020","859,285","860,525","860,498","862,616","866,169","869,539","867,188","866,849","865,207","865,371","862,094","864,551","839,237","775,895","743,087","733,860","762,712","790,011","803,093","816,150","820,368","828,350","837,510","842,189","846,372","848,501","852,178","851,047","858,079","863,374","863,939","867,291","870,402","871,154","873,136","873,601","874,837","878,653","881,673","884,881","885,479","885,482","886,605","886,810","887,507","888,083","895,000"
"Closing businesses","36,111","36,632","36,076","39,113","36,570","39,083","38,387","37,222","38,010","39,073","38,494","39,311","38,167","46,501","40,474","39,117","39,745","38,034","44,761","40,804","39,764","41,210","41,888","40,349","41,356","37,034","44,991","40,215","35,910","40,659","41,753","40,360","42,123","41,224","34,007","41,432","41,091","39,548","41,689","40,060","42,247","41,449","39,884","46,176","42,690","42,352","52,299","42,816","42,553","42,191","40,558","42,561","43,258","43,371","41,521","40,196","42,540","41,403","39,896","40,242","41,263","38,239","57,098","113,488","77,814","56,767","35,516","29,522","32,988","35,131","41,047","36,316","38,967","39,931","39,559","43,660","39,027","40,933","35,766","40,323","41,675","39,405","40,189","42,607","39,958","44,556","43,683","41,550","42,900","39,770","42,564","44,305","42,728","43,722","41,772","40,937","35,876"
"Reopening businesses 6","24,787","25,909","22,996","23,334","26,187","23,843","24,662","24,731","21,083","24,400","25,326","20,523","26,263","24,966","25,612","26,258","24,404","24,908","27,228","24,450","24,169","25,910","26,071","26,216","24,778","25,140","24,806","26,140","26,637","25,982","23,998","27,257","26,527","23,442","25,522","26,462","25,527","26,093","26,900","25,220","25,044","29,950","27,634","25,641","27,936","27,818","28,659","26,337","27,655","27,850","28,164","27,828","29,041","26,863","28,014","26,695","25,586","26,414","26,579","26,331","26,544","24,460","24,368","25,862","40,404","49,564","50,226","38,356","35,102","32,376","25,738","30,915","28,473","28,551","28,290","24,901","25,662","25,611","30,074","25,842","26,422","27,063","27,913","26,307","28,503","27,914","27,729","28,874","27,623","26,423","26,180","26,659","26,945","25,702","26,411","26,608","25,271"
"Entrants 7","17,619","16,655","15,917","16,737","14,672","13,772","16,620","14,853","12,045","16,803","17,750","17,741","16,403","15,051","15,218","15,595","15,582","13,220","17,304","15,956","12,475","16,062","21,268","16,023","15,371","16,145","16,305","15,313","15,305","17,285","13,082","15,204","16,179","15,877","13,163","14,583","14,952","15,669","16,095","15,419","15,384","15,860","12,241","16,561","14,683","15,320","30,415","15,387","14,979","14,769","14,886","14,417","15,308","17,780","15,158","14,099","15,536","14,163","15,171","15,339","14,992","12,184","10,359","11,686","7,921","12,197","13,603","11,882","14,288","16,845","21,234","16,080","16,425","15,880","16,443","17,379","13,672","17,548","15,394","15,555","15,513","16,114","15,929","16,126","16,384","17,759","17,028","16,289","16,215","16,436","17,325","17,118","15,828","16,669","16,141","16,023","15,883"
"Temporary closures 8","22,909","23,177","22,163","24,047","23,161","25,372","24,340","23,678","24,342","24,757","23,989","25,444","23,427","30,703","26,043","24,998","23,536","27,426","25,139","24,767","26,569","26,165","24,177","24,999","26,502","23,357","29,854","25,663","22,575","26,040","26,907","26,038","26,427","26,329","23,405","26,574","26,404","25,086","26,722","25,541","26,901","28,023","26,542","27,913","28,551","28,047","26,008","28,720","28,372","27,450","27,029","28,654","28,705","27,778","26,063","25,284","26,174","26,429","24,938","24,321","25,533","24,389","41,732","87,661","61,293","43,241","22,030","19,543","20,993","21,448","24,193","24,199","27,046","26,349","26,328","28,469","27,522","26,964","23,070","25,755","26,695","25,784","27,373","26,334","23,450","27,635","26,722","25,019","25,998","24,611","24,290","..","..","..","..","..",".."
"Exits 9","13,202","13,455","13,913","15,066","13,409","13,711","14,047","13,544","13,668","14,316","14,505","13,867","14,740","15,798","14,431","14,119","16,209","10,608","19,622","16,037","13,195","15,045","17,711","15,350","14,854","13,677","15,137","14,552","13,335","14,619","14,846","14,322","15,696","14,895","10,602","14,858","14,687","14,462","14,967","14,519","15,346","13,426","13,342","18,263","14,139","14,305","26,291","14,096","14,181","14,741","13,529","13,907","14,553","15,593","15,458","14,912","16,366","14,974","14,958","15,921","15,730","13,850","15,366","25,827","16,521","13,526","13,486","9,979","11,995","13,683","16,854","12,117","11,921","13,582","13,231","15,191","11,505","13,969","12,696","14,568","14,980","13,621","12,816","16,273","16,508","16,921","16,961","16,531","16,902","15,159","18,274","..","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period
E, use with caution


"Table Corrections:"
Date,Note
"","On January 07, 2022 the data for Temporary closures have been corrected."



Footnotes:
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated."
2,"The statistical unit of measures used is the business establishment, which represents a unit of production, such as a factory, store, or head office. By comparison, an enterprise may have many establishments that might operate in different regions and industries. The business counts used for this table are based on establishments within firms to which payroll/employment can be associated in the Survey of Employment Payroll and Hours (SEPH). Establishment refers to the level in the statistical hierarchy of the Business Register at which the accounting data required to measure production are available (principal inputs, revenues, salaries and wages). The establishment is defined as the most homogeneous unit of production for which the business maintains accounting records. From these records, it is possible to assemble all the data elements required to compile the gross value of production (total sales or shipments, and inventories), the cost of materials and services, and labour and capital used in production. For more details, please see: <a href="https://www23.statcan.gc.ca/imdb/p3Var.pl?Function=Unit&Id=23893" rel="external noopener noreferrer" target="_blank">Establishment (opens new window)</a>."
3,"Active businesses are those businesses that reported having one or more employees in a given month."
4,"Opening businesses are businesses that transition from having no employees in the previous month to having at least one employee in the current month. These instances occur when a new, small firm begins, when a large firm opens a new establishment or when a seasonal firm re-opens."
5,"Continuing businesses are businesses that have at least one employee in the previous month and at least one employee in the current month."
6,"Reopening businesses are defined as opening businesses that were also active in a previous month."
7,"Entrants are businesses with employment in the current month that were not active in any previous month in the current or previous year."
8,"A temporary business closure is the difference between closures and exits."
9,"The definition of exits is based on the Longitudinal Employment Analysis Program (LEAP) annual exits. Because the LEAP definition can require up to 24 months of data to be counted as an exit, projections of exits using predicted growth rates are implemented using a regression model of exits on closures of more than 6 months. As a result, there are no published exits in the last six months."



"How to cite: Statistics Canada. Table 33-10-0270-01  Experimental estimates for business openings and closures for Canada, provinces and territories, census metropolitan areas, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310027001
