REF_DATE,GEO,Violations and calls for service,VALUE
20-Aug,"Total, Selected police services","Total assaults (levels 1, 2, 3) [141]",
20-Aug,"Total, Selected police services","Assaults by non-family (levels 1, 2, 3)",
20-Aug,"Total, Selected police services","Assaults by family (levels 1, 2, 3)",
20-Aug,"Total, Selected police services",Assaults where relationship type is unknown,
20-Aug,"Total, Selected police services","Total sexual assaults (levels 1, 2, 3) [131]",
20-Aug,"Total, Selected police services","Sexual assaults by non-family (levels 1, 2, 3)",
20-Aug,"Total, Selected police services","Sexual assaults by family (levels 1, 2, 3)",
20-Aug,"Total, Selected police services",Sexual assaults where relationship type is unknown,
20-Aug,"Total, Selected police services",Assault against peace or public officer (level 1) [1460],
20-Aug,"Total, Selected police services",Uttering threats [1627],
20-Aug,"Total, Selected police services",Uttering threats by non-family,
20-Aug,"Total, Selected police services",Uttering threats by family,
20-Aug,"Total, Selected police services",Uttering threats where relationship type is unknown,
20-Aug,"Total, Selected police services",Total robbery [160],
20-Aug,"Total, Selected police services","Dangerous operation, causing death or bodily harm [911]",
20-Aug,"Total, Selected police services","Impaired driving, causing death or bodily harm [921]",
20-Aug,"Total, Selected police services",Total breaking and entering [210],
20-Aug,"Total, Selected police services","Breaking and entering, non-residential",
20-Aug,"Total, Selected police services","Breaking and entering, residential",
20-Aug,"Total, Selected police services",Breaking and entering where location type is unknown,
20-Aug,"Total, Selected police services",Motor vehicle theft [2135],
20-Aug,"Total, Selected police services",Shoplifting [213],
20-Aug,"Total, Selected police services",Fraud/identity theft/identity fraud [216],
20-Aug,"Total, Selected police services",Fail to comply with order [3410],
20-Aug,"Total, Selected police services","Impaired driving, operating while impaired [923]",
20-Aug,"Total, Selected police services",Provincial/Territorial acts related to COVID-19,
20-Aug,"Total, Selected police services","Calls for service, domestic disturbances / disputes",
20-Aug,"Total, Selected police services","Calls for service, Mental Health Act (MHA) apprehension",
20-Aug,"Total, Selected police services","Calls for service, mental health - other",
20-Aug,"Total, Selected police services","Calls for service, suicide/attempted suicide",
20-Aug,"Total, Selected police services","Calls for service, overdose",
20-Aug,"Total, Selected police services","Calls for service, child welfare check",
20-Aug,"Total, Selected police services","Calls for service, check welfare - general",
20-Aug,"Total, Selected police services","Calls for service, child custody matter - domestic",
20-Aug,Royal Newfoundland Constabulary [10C01],"Total assaults (levels 1, 2, 3) [141]",167
20-Aug,Royal Newfoundland Constabulary [10C01],"Assaults by non-family (levels 1, 2, 3)",80
20-Aug,Royal Newfoundland Constabulary [10C01],"Assaults by family (levels 1, 2, 3)",20
20-Aug,Royal Newfoundland Constabulary [10C01],Assaults where relationship type is unknown,67
20-Aug,Royal Newfoundland Constabulary [10C01],"Total sexual assaults (levels 1, 2, 3) [131]",22
20-Aug,Royal Newfoundland Constabulary [10C01],"Sexual assaults by non-family (levels 1, 2, 3)",10
20-Aug,Royal Newfoundland Constabulary [10C01],"Sexual assaults by family (levels 1, 2, 3)",1
20-Aug,Royal Newfoundland Constabulary [10C01],Sexual assaults where relationship type is unknown,11
20-Aug,Royal Newfoundland Constabulary [10C01],Assault against peace or public officer (level 1) [1460],6
20-Aug,Royal Newfoundland Constabulary [10C01],Uttering threats [1627],116
20-Aug,Royal Newfoundland Constabulary [10C01],Uttering threats by non-family,18
20-Aug,Royal Newfoundland Constabulary [10C01],Uttering threats by family,4
20-Aug,Royal Newfoundland Constabulary [10C01],Uttering threats where relationship type is unknown,94
20-Aug,Royal Newfoundland Constabulary [10C01],Total robbery [160],10
20-Aug,Royal Newfoundland Constabulary [10C01],"Dangerous operation, causing death or bodily harm [911]",0
20-Aug,Royal Newfoundland Constabulary [10C01],"Impaired driving, causing death or bodily harm [921]",0
20-Aug,Royal Newfoundland Constabulary [10C01],Total breaking and entering [210],90
20-Aug,Royal Newfoundland Constabulary [10C01],"Breaking and entering, non-residential",26
20-Aug,Royal Newfoundland Constabulary [10C01],"Breaking and entering, residential",64
20-Aug,Royal Newfoundland Constabulary [10C01],Breaking and entering where location type is unknown,0
20-Aug,Royal Newfoundland Constabulary [10C01],Motor vehicle theft [2135],44
20-Aug,Royal Newfoundland Constabulary [10C01],Shoplifting [213],82
20-Aug,Royal Newfoundland Constabulary [10C01],Fraud/identity theft/identity fraud [216],122
20-Aug,Royal Newfoundland Constabulary [10C01],Fail to comply with order [3410],121
20-Aug,Royal Newfoundland Constabulary [10C01],"Impaired driving, operating while impaired [923]",58
20-Aug,Royal Newfoundland Constabulary [10C01],Provincial/Territorial acts related to COVID-19,0
