"Labour force characteristics, three-month moving average, unadjusted for seasonality c 1"
"Frequency: Monthly"
"Table: 14-10-0378-01"
"Release date: 2023-04-06"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

"Labour force characteristics","Employment rate 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography 2 3","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. John's, Newfoundland and Labrador","58.5","58.9","59.2","59.8","60.5","59.7","57.2","55.9","55.2","56.1","56.2","57.8","59.1","60.5","61.3","62.1","62.1","60.8","60.4","60.2","61.1","61.6","63.1","64.7","65.2","64.8","64.2","64.1","63.9","62.4","60.8","59.9"
"Halifax, Nova Scotia","62.0","62.9","63.4","63.9","63.3","63.6","63.3","63.6","63.3","62.3","62.2","62.5","63.8","64.0","64.1","63.7","63.3","62.7","62.5","62.3","63.0","63.8","64.9","65.1","65.0","64.6","64.4","64.8","64.8","64.9","64.5","64.2"
"Moncton, New Brunswick","62.6","61.9","62.3","62.0","61.7","61.2","60.8","61.0","62.3","64.0","66.2","67.2","68.1","68.1","67.2","65.8","64.3","62.8","61.4","60.6","61.4","62.7","63.8","64.2","63.9","63.7","63.8","63.6","63.6","62.8","62.5","62.3"
"Saint John, New Brunswick","58.4","57.1","55.8","56.3","56.7","56.3","56.3","56.1","56.9","57.2","58.0","58.1","58.4","57.9","57.2","57.2","57.3","57.4","57.0","56.7","57.2","57.4","58.0","58.3","59.3","59.0","59.6","59.2","59.2","57.9","56.3","56.1"
"Saguenay, Quebec","57.1","57.6","58.0","57.1","55.6","53.4","53.8","53.8","54.4","53.8","54.4","55.1","54.8","54.0","54.5","55.8","57.2","56.3","56.3","56.4","58.2","58.9","60.1","60.2","60.4","59.6","57.9","54.9","52.4","51.1","51.8","52.7"
"Québec, Quebec","63.3","63.5","63.1","63.2","63.6","62.6","61.5","61.2","61.6","61.7","62.3","63.5","64.6","64.8","64.9","64.3","63.7","62.4","61.7","61.5","62.0","63.2","64.5","65.8","65.8","65.3","64.8","64.6","63.8","63.2","63.4","64.3"
"Sherbrooke, Quebec","59.6","59.6","59.2","58.7","58.8","57.7","56.9","56.2","57.4","58.0","59.4","60.3","61.5","62.0","61.1","60.0","58.2","57.2","56.5","56.5","56.5","55.9","56.6","57.9","59.6","60.1","60.1","60.3","59.6","59.2","57.9","56.5"
"Trois-Rivières, Quebec","56.4","58.2","58.5","58.6","56.9","54.1","53.5","53.5","55.3","56.2","58.2","59.7","59.8","57.8","56.6","55.3","55.4","54.2","54.5","55.8","57.3","57.5","57.3","57.5","58.0","57.4","56.7","56.6","56.3","55.2","54.0","53.7"
"Montréal, Quebec","60.1","60.9","61.4","61.6","61.0","60.0","59.9","60.1","60.7","61.2","62.3","63.3","63.4","62.9","62.8","63.5","64.0","63.5","63.0","62.8","63.0","63.3","63.6","64.1","64.1","64.0","64.2","64.4","64.9","65.1","64.9","64.6"
"Ottawa-Gatineau, Ontario/Quebec","60.7","61.1","60.8","60.8","61.3","61.3","62.1","62.4","63.3","63.6","64.5","65.4","64.9","63.7","62.7","62.4","62.4","61.9","62.4","62.9","64.5","65.4","65.7","65.7","65.2","65.3","64.8","64.8","64.8","64.9","64.4","64.2"
"Kingston, Ontario","56.8","57.1","57.3","57.9","58.7","57.9","57.8","57.6","58.0","56.4","55.2","55.1","56.0","55.9","55.6","55.9","56.2","55.6","55.8","56.1","57.7","58.1","59.5","60.7","61.2","60.9","60.9","60.6","60.8","59.7","59.9","60.3"
"Belleville, Ontario","44.8","45.0","46.8","48.6","52.5","55.2","57.0","54.2","52.0","51.2","49.3","51.0","51.6","52.6","51.2","50.7","54.4","55.1","56.6","57.7","60.3","62.7","62.1","62.1","60.4","59.6","59.4","57.5","57.6","58.6","61.0","61.1"
"Peterborough, Ontario 5","47.9","47.2","47.3","48.7","50.0","50.3","50.7","52.8","55.0","57.7","58.1","58.6","57.4","57.3","57.5","57.9","56.2","53.7","54.5","55.3","57.7","57.3","58.8","60.3","59.9","60.2","59.5","59.7","56.5","52.5","52.0","52.4"
"Oshawa, Ontario","60.2","61.2","62.0","61.8","61.7","59.9","59.5","59.3","59.9","59.8","60.1","60.5","60.6","61.1","61.9","63.4","63.9","63.4","63.3","63.5","64.9","65.8","66.3","65.8","64.8","63.8","63.4","63.4","64.3","64.8","64.8","63.6"
"Toronto, Ontario","57.2","58.7","60.2","61.0","61.0","59.9","59.0","58.6","58.8","59.0","59.6","60.6","61.9","62.5","63.0","63.5","64.1","63.6","63.2","62.6","63.1","63.2","63.7","64.0","64.0","63.2","62.7","62.3","62.6","62.6","62.8","63.0"
"Hamilton, Ontario","56.7","56.6","56.7","58.5","60.3","60.6","60.2","60.5","61.3","61.2","60.8","60.8","61.4","61.9","61.9","61.9","62.4","62.5","61.9","61.0","61.3","62.1","62.6","62.6","62.5","62.3","62.3","62.7","62.8","62.3","61.4","60.6"
"St. Catharines-Niagara, Ontario","50.9","52.8","54.6","54.3","53.1","49.7","48.1","48.7","50.3","51.2","50.9","52.3","54.5","56.9","57.7","56.9","56.1","55.7","56.9","57.7","59.6","60.2","60.9","60.2","59.4","58.2","57.9","57.9","58.3","58.4","57.6","57.1"
"Kitchener-Cambridge-Waterloo, Ontario","59.9","60.9","62.2","62.9","63.3","62.8","62.7","62.7","63.6","63.8","64.2","64.1","64.4","64.7","65.6","66.7","66.6","65.7","64.8","64.3","64.2","64.4","64.9","65.7","66.2","66.3","66.3","66.3","66.5","66.2","65.3","64.4"
"Brantford, Ontario","61.7","62.6","62.9","63.4","63.0","61.6","61.1","61.9","62.7","62.5","62.3","62.9","63.8","62.9","62.6","61.6","61.8","61.6","61.6","61.0","60.8","61.4","63.3","64.8","66.5","67.0","67.8","66.9","66.5","65.7","65.4","64.4"
"Guelph, Ontario","62.5","62.7","62.9","62.4","62.4","61.2","61.4","62.8","64.2","65.3","64.7","66.6","67.4","67.7","67.1","67.2","68.8","68.8","68.7","67.6","67.4","68.5","69.0","69.5","68.2","67.5","66.6","66.1","66.6","66.3","67.2","67.7"
"London, Ontario","56.7","56.8","56.9","56.4","56.8","57.1","57.9","58.3","59.1","59.3","60.2","60.6","61.2","60.5","60.5","60.8","61.7","62.0","62.0","62.3","62.6","63.0","62.8","62.8","62.0","61.9","61.4","61.1","61.1","61.3","61.5","60.9"
