"Monthly retail trade sales by province and territory (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 20-10-0056-01"
"Release date: 2023-04-21"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"North American Industry Classification System (NAICS)","Retail trade  [44-45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales","Total retail sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adjustments","Seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","50,417,235","49,863,452","49,937,420","50,827,438","50,711,634","50,762,624","50,879,002","51,011,588","51,040,384","52,522,532","52,139,092","52,310,573","52,271,446","52,035,465","51,946,965","52,101,777","53,447,083","53,287,940","53,096,102","53,376,429","53,634,932","53,859,258","52,976,270","53,386,574","52,907,965","52,997,482","53,627,744","53,786,070","54,093,066","53,802,084","54,381,960","54,350,184","54,363,245","53,625,470","54,040,294","55,349,866","54,766,826","54,883,732","48,747,130","37,510,193","45,879,295","55,865,245","56,326,616","56,162,955","57,934,445","58,442,729","58,636,541","56,577,919","55,354,791","58,905,155","61,537,941","58,406,933","56,948,949","59,438,106","60,101,611","61,087,396","60,681,551","61,618,648","62,351,220","61,774,827","63,237,357","63,589,489","63,757,715","64,027,005","65,719,334","66,308,505","64,824,985","65,011,265","64,709,375","65,522,933","65,406,852","65,432,468","66,503,085","66,338,869"
"Newfoundland and Labrador","800,919","784,274","767,324","764,090","777,538","781,018","757,795","772,502","791,890","812,403","789,652","784,523","762,943","773,106","773,804","778,259","772,133","751,625","773,232","781,314","768,373","756,467","747,536","763,458","753,576","747,311","787,285","736,408","741,629","759,945","780,380","780,742","779,402","802,997","768,645","776,500","752,756","789,626","733,166","571,892","719,719","852,095","836,779","832,782","826,467","821,404","862,313","779,813","862,577","817,851","863,908","900,549","872,782","845,138","845,046","858,331","883,374","890,968","912,503","869,030","927,147","903,733","915,525","920,444","934,566","913,765","941,916","958,844","942,387","967,901","941,705","952,611","990,530","986,644"
"Prince Edward Island","199,509","192,843","199,423","201,039","198,471","196,269","203,365","199,877","200,176","208,121","209,302","212,043","208,109","209,249","202,365","201,254","210,235","209,637","209,566","210,615","211,392","208,867","205,706","208,445","206,503","209,353","215,656","215,172","208,062","213,808","222,219","226,375","219,114","216,052","215,800","221,410","223,064","222,779","191,076","162,062","195,043","224,313","217,289","223,930","237,478","235,761","243,932","233,292","249,378","265,301","257,417","268,628","248,608","249,426","248,305","262,021","262,794","269,027","265,851","263,122","270,363","270,626","268,194","269,014","281,040","286,693","288,846","281,978","278,225","292,067","291,303","288,985","300,450","303,826"
"Nova Scotia","1,338,447","1,291,331","1,332,297","1,339,876","1,363,924","1,383,907","1,378,193","1,375,351","1,369,070","1,406,108","1,418,089","1,401,558","1,362,535","1,394,547","1,353,712","1,400,903","1,396,148","1,364,163","1,384,346","1,391,138","1,374,678","1,390,434","1,322,764","1,386,039","1,398,788","1,365,649","1,413,303","1,409,972","1,394,098","1,413,255","1,445,191","1,417,554","1,429,428","1,401,457","1,408,389","1,430,311","1,456,782","1,410,091","1,227,529","980,233","1,196,015","1,419,718","1,419,695","1,482,104","1,457,206","1,494,673","1,521,433","1,458,343","1,565,980","1,588,030","1,613,514","1,603,444","1,404,704","1,615,563","1,586,302","1,637,337","1,695,065","1,659,974","1,656,711","1,638,608","1,610,536","1,707,012","1,679,126","1,689,162","1,739,422","1,723,020","1,748,232","1,714,108","1,688,605","1,779,588","1,774,502","1,751,762","1,831,122","1,788,989"
"New Brunswick","1,049,815","1,062,497","1,054,798","1,067,218","1,103,307","1,059,621","1,062,811","1,057,142","1,087,907","1,106,071","1,105,305","1,109,544","1,080,622","1,080,177","1,060,407","1,069,299","1,105,668","1,078,425","1,112,654","1,112,179","1,138,811","1,121,273","1,089,678","1,114,144","1,089,235","1,096,385","1,127,838","1,114,457","1,104,408","1,121,287","1,099,595","1,144,392","1,110,824","1,147,604","1,138,206","1,149,222","1,172,337","1,153,319","997,285","838,365","1,041,301","1,179,343","1,179,288","1,191,094","1,260,507","1,191,818","1,208,848","1,163,564","1,242,896","1,239,230","1,260,500","1,321,915","1,272,113","1,239,730","1,251,852","1,279,397","1,272,969","1,289,208","1,328,449","1,310,467","1,333,776","1,336,770","1,342,349","1,340,707","1,404,213","1,383,800","1,401,075","1,368,487","1,379,997","1,442,466","1,390,284","1,376,248","1,399,579","1,470,477"
"Quebec","10,709,589","10,526,893","10,366,074","10,861,159","10,597,288","10,622,609","10,706,696","10,680,257","10,642,318","11,101,171","10,972,440","11,152,991","10,978,276","10,944,079","11,075,244","10,963,794","11,378,025","11,231,527","11,271,759","11,231,156","11,341,983","11,523,743","11,207,404","11,292,835","11,163,366","11,300,910","11,428,147","11,247,295","11,467,525","11,312,376","11,435,129","11,394,962","11,533,892","11,370,798","11,402,632","11,548,840","11,637,065","11,541,589","9,690,761","7,156,634","10,075,298","12,330,326","12,330,224","12,526,478","12,521,173","12,638,054","12,942,128","12,122,076","10,872,351","13,001,530","13,770,821","13,497,115","13,030,789","12,902,224","13,070,247","13,314,189","13,433,397","13,432,133","13,564,550","13,433,274","14,036,098","14,033,311","13,895,189","13,896,378","14,433,076","14,232,987","14,221,299","14,351,635","14,138,462","14,506,705","14,458,071","14,484,510","14,633,393","14,772,122"
"Ontario","18,742,688","18,703,958","18,903,337","19,222,214","19,082,390","18,995,152","19,055,251","19,241,152","19,173,367","19,568,947","19,623,448","19,616,052","19,841,693","19,783,552","19,793,528","19,649,640","20,168,123","20,408,902","20,207,206","20,509,244","20,565,224","20,796,206","20,252,252","20,313,057","20,208,460","20,303,537","20,332,648","20,709,633","20,829,825","20,895,556","21,159,166","21,038,507","21,167,994","20,499,721","21,026,654","21,595,758","21,049,992","21,346,929","19,269,774","13,872,265","16,067,187","21,331,955","21,353,115","21,239,216","21,964,993","22,329,049","22,118,722","21,125,041","20,315,532","21,557,586","23,304,023","20,299,921","19,659,987","22,252,145","22,807,421","23,343,852","22,680,994","23,214,883","23,612,247","23,407,271","24,234,561","24,310,029","24,449,807","24,616,762","25,024,064","26,018,417","24,384,537","24,320,748","24,553,180","24,490,479","24,433,107","24,556,102","24,789,981","24,980,058"
"Manitoba","1,749,096","1,733,320","1,727,275","1,748,527","1,756,835","1,689,244","1,694,162","1,727,144","1,702,710","1,758,426","1,764,535","1,743,638","1,838,483","1,694,954","1,736,813","1,751,519","1,773,933","1,784,074","1,760,379","1,798,816","1,818,321","1,766,504","1,762,589","1,803,490","1,780,119","1,801,391","1,798,062","1,810,109","1,790,053","1,783,362","1,798,179","1,780,389","1,764,511","1,780,268","1,772,016","1,811,259","1,824,178","1,809,224","1,643,632","1,330,536","1,696,389","1,871,158","1,927,667","1,908,406","1,951,589","1,952,929","1,824,569","1,715,339","1,945,244","2,076,739","2,127,715","1,965,877","1,994,860","1,984,991","1,992,240","2,015,566","2,003,697","2,086,672","2,053,418","2,067,791","2,090,269","2,144,870","2,161,744","2,083,495","2,229,843","2,214,811","2,210,276","2,231,006","2,209,132","2,260,312","2,288,205","2,275,146","2,353,315","2,278,489"
"Saskatchewan","1,651,544","1,659,959","1,679,639","1,626,696","1,632,421","1,630,278","1,646,244","1,667,903","1,623,424","1,725,005","1,710,429","1,716,063","1,699,562","1,684,505","1,552,425","1,672,210","1,683,830","1,714,809","1,707,628","1,641,798","1,686,586","1,663,185","1,658,371","1,673,403","1,651,713","1,682,914","1,695,987","1,718,868","1,706,809","1,648,872","1,683,092","1,700,700","1,706,608","1,684,257","1,660,538","1,735,903","1,734,530","1,705,543","1,510,816","1,344,171","1,563,768","1,746,464","1,788,159","1,779,502","1,788,428","1,776,035","1,774,420","1,806,718","1,846,647","1,848,061","1,892,493","1,915,196","1,977,178","1,918,460","1,922,809","1,966,516","1,938,499","2,004,112","2,055,712","2,025,964","2,016,840","2,049,255","2,024,775","2,048,833","2,070,236","2,110,529","2,069,413","2,110,437","2,119,847","2,172,581","2,160,407","2,140,771","2,200,893","2,134,133"
