"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51097936","","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45688072","","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","49847235","","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","53288969","","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","61263200","","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","61728305","","","","0"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","57162090","","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","56656641","","","","0"
"2021-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48555490","","","","0"
"2021-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48110215","","","","0"
"2021-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48939953","","","","0"
"2021-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","49931674","","","","0"
"2021-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","50332611","","","","0"
"2021-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","45812955","","","","0"
"2021-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48242405","","","","0"
"2021-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51705069","","","","0"
"2021-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","60476265","","","","0"
"2022-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","65051614","","","","0"
"2022-02","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","56206968","","","","0"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","56654463","","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","50183519","","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47824561","","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47600642","","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","51851536","","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","53761764","","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","47568839","","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","48092344","","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","53565545","","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","61888525","","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174609","1.1.1","62479092","","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29650683","","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","26196074","","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29509348","","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","31469519","","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","38446618","","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","40069727","","","","0"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","36419571","","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","35436325","","","","0"
"2021-04","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29815313","","","","0"
"2021-05","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","28994724","","","","0"
"2021-06","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","28142017","","","","0"
"2021-07","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29336929","","","","0"
"2021-08","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","28175532","","","","0"
"2021-09","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","25608634","","","","0"
"2021-10","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","27616522","","","","0"
"2021-11","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","30222153","","","","0"
"2021-12","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","37149884","","","","0"
"2022-01","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","40173546","","","","0"
"2022-02","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","34904599","","","","0"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","35366406","","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","31124478","","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29738161","","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","29455711","","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","31177059","","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","32250510","","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","27896850","","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","28800553","","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","32710075","","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","38791461","","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174610","1.1.2","39567888","","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
