Type of electricity generation,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total all types of electricity generation,"5,298,875","5,907,967","6,740,700","7,644,951","7,119,125","6,643,728","6,680,821","5,674,224","5,460,311","5,632,610","5,960,266","5,023,384","5,175,836","5,461,232","5,665,583","7,488,041","6,931,258","6,195,058","5,987,837","5,902,868","4,969,989","4,882,635","5,495,946","6,262,293","4,917,403","4,432,718","6,017,336","6,834,558","5,897,996"
Hydraulic turbine 3,"4,544,210","5,171,686","5,868,136","6,776,649","6,298,763","5,879,268","5,951,480","4,914,025","4,888,014","5,087,141","5,317,466","4,267,340","4,454,074","4,800,497","5,060,513","6,883,003","6,326,914","5,595,200","5,378,246","5,316,448","4,568,484","4,486,599","5,043,973","5,740,475","4,437,517","3,903,263","5,460,232","6,326,577","5,303,303"
Conventional steam turbine 4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nuclear steam turbine 5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internal combustion turbine 6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustion turbine 7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity production from combustible fuels 8,"474,675","487,247","506,077","521,755","534,332","487,106","514,489","620,302","454,773","423,720","546,314","634,277","576,811","512,732","431,216","444,664","446,223","451,895","468,275","480,953","313,731","305,979","354,350","419,572","367,291","401,005","404,726","396,223","469,590"
Tidal power turbine 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind power turbine 10,"279,799","248,920","366,409","346,491","285,972","277,262","214,418","139,362","116,836","121,258","95,927","121,321","144,565","147,688","173,676","160,240","157,971","147,709","140,905","104,958","87,285","89,511","96,993","101,038","112,157","128,037","152,246","111,647","124,903"
Solar 11,191,114,78,56,58,92,434,535,688,491,559,446,386,315,178,134,150,254,411,509,489,546,630,"1,208",438,413,132,111,200
Other types of electricity generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
