"Real-time Local Business Condition Index (RTLBCI)"
"Frequency: Weekly"
"Table: 33-10-0398-01"
"Release date: 2023-04-28"
"Geography: Population centre"
""
""

"Geography","August 10, 2020","August 17, 2020","August 24, 2020","August 31, 2020","September 7, 2020","September 14, 2020","September 21, 2020","September 28, 2020","October 5, 2020","October 12, 2020","October 19, 2020","October 26, 2020","November 2, 2020","November 9, 2020","November 16, 2020","November 23, 2020","November 30, 2020","December 7, 2020","December 14, 2020","December 21, 2020","December 28, 2020","January 4, 2021","January 11, 2021","January 18, 2021","January 25, 2021","February 1, 2021","February 8, 2021","February 15, 2021","February 22, 2021","March 1, 2021","March 8, 2021","March 15, 2021","March 22, 2021","March 29, 2021","April 5, 2021","April 12, 2021","April 19, 2021","April 26, 2021","May 3, 2021","May 10, 2021","May 17, 2021","May 24, 2021","May 31, 2021","June 7, 2021","June 14, 2021","June 21, 2021","June 28, 2021","July 5, 2021","July 12, 2021","July 19, 2021","July 26, 2021","August 2, 2021","August 9, 2021","August 16, 2021","August 23, 2021","August 30, 2021","September 6, 2021","September 13, 2021","September 20, 2021","September 27, 2021","October 4, 2021","October 11, 2021","October 18, 2021","October 25, 2021","November 1, 2021","November 8, 2021","November 15, 2021","November 22, 2021","November 29, 2021","December 6, 2021","December 13, 2021","December 20, 2021","December 27, 2021","January 3, 2022","January 10, 2022","January 17, 2022","January 24, 2022","January 31, 2022","February 7, 2022","February 14, 2022","February 21, 2022","February 28, 2022","March 7, 2022","March 14, 2022","March 21, 2022","March 28, 2022","April 4, 2022","April 11, 2022","April 18, 2022","April 25, 2022","May 2, 2022","May 9, 2022","May 16, 2022","May 23, 2022","May 30, 2022","June 6, 2022","June 13, 2022","June 20, 2022","June 27, 2022","July 4, 2022","July 11, 2022","July 18, 2022","July 25, 2022","August 1, 2022","August 8, 2022","August 15, 2022","August 22, 2022","August 29, 2022","September 5, 2022","September 12, 2022","September 19, 2022","September 26, 2022","October 3, 2022","October 10, 2022","October 17, 2022","October 24, 2022","October 31, 2022","November 7, 2022","November 14, 2022","November 21, 2022","November 28, 2022","December 5, 2022","December 12, 2022","December 19, 2022","December 26, 2022","January 2, 2023","January 9, 2023","January 16, 2023","January 23, 2023","January 30, 2023","February 6, 2023","February 13, 2023","February 20, 2023","February 27, 2023","March 6, 2023","March 13, 2023","March 20, 2023","March 27, 2023","April 3, 2023","April 10, 2023","April 17, 2023"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. John's, Newfoundland (792) 1","100.00","111.81","122.82","115.91","118.19","149.29","139.92","194.67","223.12","219.94","221.57","219.90","229.14","286.05","322.45","355.76","368.32","340.50","337.98","402.48","361.66","351.68","373.18","265.63","261.72","270.39","185.10","112.70","104.45","189.00","176.55","178.73","222.86","225.60","253.25","347.75","359.54","375.64","359.33","340.07","320.86","321.45","331.81","335.93","362.32","349.71","366.53","316.41","280.28","250.42","243.19","238.62","208.00","246.61","286.02","295.69","340.99","369.61","421.31","371.78","397.14","376.11","388.25","450.75","455.95","399.65","398.05","442.55","455.72","471.60","425.04","457.95","399.05","370.31","347.78","274.94","290.19","288.42","199.37","200.24","159.03","299.88","260.41","251.64","261.92","264.95","380.26","474.01","496.81","538.31","495.18","468.78","463.88","445.66","465.66","479.54","578.25","500.85","477.97","362.86","319.09","289.05","284.21","282.91","264.99","292.16","324.75","342.66","377.49","425.43","462.44","403.21","423.36","424.99","424.45","497.98","592.59","521.60","510.90","530.65","518.13","535.95","515.93","532.85","517.72","514.65","542.85","385.49","386.00","418.79","248.83","241.55","186.13","361.69","338.63","294.84","352.09","311.52","477.58","547.03","606.62"
"Halifax, Nova Scotia (0348) 1","100.00","103.25","103.77","92.11","111.06","107.50","101.47","110.83","126.49","123.53","132.26","140.50","130.85","145.20","162.00","161.52","153.94","158.35","158.35","175.23","179.51","189.38","157.19","134.70","131.28","131.75","110.30","105.27","97.77","151.12","125.45","119.77","145.44","143.12","123.17","129.97","138.15","127.02","174.39","165.35","175.57","180.40","180.94","208.30","189.20","174.91","176.17","170.75","191.15","185.49","179.46","191.25","169.33","190.65","199.85","196.14","195.21","205.72","210.09","195.68","178.51","189.73","194.47","203.77","204.13","182.08","185.66","202.85","200.78","204.30","181.30","183.36","168.07","221.53","164.02","128.08","149.35","131.12","121.84","123.22","123.95","174.70","144.08","144.37","185.79","170.11","163.07","157.69","171.84","177.58","268.89","272.46","272.83","276.34","269.17","286.66","292.23","266.70","267.27","252.00","255.29","253.86","251.36","267.33","242.17","263.66","277.36","281.25","276.54","255.30","261.63","211.89","209.14","213.94","227.55","252.82","305.15","267.14","272.34","296.12","292.54","290.28","284.54","281.15","265.88","353.82","273.62","222.85","208.91","210.98","171.71","163.05","160.01","227.82","186.08","180.62","218.93","211.18","200.39","189.60","218.11"
"Moncton, New Brunswick (0539) 1","100.00","108.05","120.78","113.63","130.73","134.45","133.52","175.36","191.65","163.74","157.59","190.76","169.19","234.26","231.78","220.21","234.03","220.12","240.16","268.75","343.67","343.11","278.44","253.23","228.35","228.30","215.26","220.90","217.28","274.77","257.69","228.22","294.75","276.04","269.99","299.80","280.23","294.66","282.24","250.97","241.44","266.97","254.13","270.08","286.60","266.02","260.74","262.45","287.84","267.40","253.54","285.92","250.39","281.72","310.97","322.53","343.78","348.71","379.38","312.00","314.14","302.66","304.63","350.99","363.24","313.75","340.21","343.38","338.73","338.98","323.00","331.11","307.42","437.52","328.05","299.30","279.49","253.47","276.40","277.30","293.06","345.16","329.16","310.96","..","341.54","342.31","375.44","340.86","388.87","357.11","309.54","297.31","308.81","294.11","322.77","318.23","292.24","292.53","290.40","295.44","290.56","274.88","305.95","283.29","309.94","336.51","386.78","374.41","366.18","402.12","334.68","366.73","373.36","354.67","403.32","467.05","406.04","431.84","415.91","406.93","433.86","413.84","413.16","405.88","589.37","521.57","425.32","421.68","424.40","394.29","361.62","370.05","428.51","375.67","347.27","427.92","399.65","416.02","420.79","442.13"
"Quebec, Quebec (0685) 1","100.00","107.75","124.25","103.23","127.96","114.26","80.63","97.85","95.72","97.68","117.22","126.70","123.70","158.12","151.78","155.92","153.57","143.31","140.69","162.01","213.08","218.55","192.06","191.16","163.45","154.83","150.48","155.75","154.41","172.96","188.15","162.04","241.01","218.51","207.48","161.94","143.30","187.59","198.88","198.88","209.28","254.38","245.60","231.29","246.60","212.14","178.72","206.65","199.28","179.80","212.68","232.49","237.38","250.27","277.55","283.43","273.26","262.45","297.46","233.63","246.29","270.57","259.96","292.73","277.23","261.56","281.95","256.81","281.48","281.31","247.08","283.09","242.38","289.06","247.97","224.75","207.81","187.76","187.59","185.13","192.52","262.88","299.96","206.59","333.54","307.37","300.81","293.07","291.00","360.91","370.60","335.06","341.49","385.04","361.05","311.62","296.44","247.94","224.43","225.59","235.02","206.53","193.09","206.80","245.78","263.83","300.48","309.52","305.47","282.90","365.29","268.88","285.26","298.82","279.03","335.20","347.08","344.45","355.17","295.48","315.80","313.91","307.14","306.52","259.79","379.84","392.04","374.56","361.25","334.32","279.99","250.23","291.60","359.60","347.10","281.01","398.41","373.35","360.89","331.55","281.41"
"Trois-Rivieres, Quebec (0953) 1","100.00","106.45","114.34","99.36","117.63","113.74","101.25","120.78","128.54","132.70","124.45","132.32","97.61","168.86","204.40","203.83","206.69","197.56","196.71","213.39","267.63","239.65","266.99","194.39","190.74","193.65","178.70","198.34","197.21","230.61","202.17","220.78","258.92","234.05","232.97","241.95","243.97","211.84","211.38","200.79","194.07","201.97","205.55","218.06","228.51","210.35","213.35","221.73","200.49","202.71","208.51","230.61","222.16","227.37","243.75","280.66","276.33","295.97","323.79","277.48","273.22","282.11","282.55","324.16","338.89","257.73","298.07","313.20","307.99","301.40","266.81","299.29","257.46","329.14","338.25","250.68","248.01","254.90","258.60","247.46","256.55","306.52","271.39","288.83","319.27","301.33","310.21","326.64","309.17","284.46","288.88","262.74","244.52","260.64","263.56","266.90","261.91","253.96","241.13","252.14","245.65","240.61","245.42","250.34","259.16","253.49","288.90","336.58","323.88","340.46","367.57","315.69","296.39","312.42","299.59","353.42","416.57","332.23","383.92","379.64","364.05","359.82","354.44","361.34","353.93","475.46","478.62","365.76","371.72","353.34","323.15","314.81","332.48","379.26","315.77","346.72","406.18","366.51","370.99","367.63","384.46"
"Sherbrooke, Quebec (0758) 1","100.00","97.30","105.15","113.17","127.81","129.30","108.07","123.58","139.34","147.21","143.67","165.43","145.10","178.99","207.29","184.75","205.63","195.18","195.68","233.33","291.70","242.95","286.63","228.18","234.27","221.61","182.31","206.97","196.53","244.88","213.79","228.67","271.06","270.20","251.01","243.95","250.36","226.81","232.79","208.19","186.99","198.62","194.47","215.74","232.36","218.12","203.53","235.30","237.31","224.92","199.47","243.86","239.61","244.47","268.95","282.92","324.11","320.26","362.33","287.10","263.58","268.01","271.53","292.02","311.24","269.69","279.16","304.61","284.63","280.98","262.66","286.77","252.91","318.50","348.15","286.05","311.19","300.29","257.73","260.37","253.34","317.19","292.31","311.25","312.70","330.77","318.80","348.68","338.71","309.30","312.78","328.27","307.25","319.51","310.94","343.65","358.79","336.06","291.73","336.00","324.83","297.45","283.90","309.59","286.62","320.57","300.13","321.70","363.58","369.83","402.27","312.41","288.79","311.57","307.94","338.04","408.06","361.98","373.52","382.17","354.45","381.33","370.82","360.70","371.11","506.32","550.47","460.25","468.45","427.44","367.20","400.24","406.63","489.45","394.53","430.66","491.67","482.79","456.47","426.70","443.15"
"Montreal, Quebec (0547) 1","100.00","89.20","87.22","98.07","102.95","97.83","101.43","126.71","122.02","119.81","115.92","124.55","128.25","137.51","150.78","138.42","164.05","142.32","144.79","158.40","175.07","152.82","167.02","164.46","169.46","189.25","137.90","139.55","152.06","169.14","179.18","172.51","201.11","213.96","213.01","210.43","213.68","228.25","225.27","194.31","184.58","189.24","212.64","217.18","245.71","249.00","188.96","211.27","206.03","202.85","224.94","242.34","214.06","211.34","194.90","239.49","196.00","193.27","214.50","198.45","227.66","227.95","226.60","228.35","222.15","227.32","215.09","217.27","204.59","239.99","198.94","208.82","165.50","181.44","181.07","186.23","182.73","207.16","173.60","163.33","178.54","198.72","203.47","208.28","258.07","257.80","254.83","259.86","266.25","276.21","284.04","243.61","222.37","237.29","255.72","255.57","262.49","246.53","209.80","216.67","215.87","214.75","250.08","272.32","234.47","254.04","249.33","273.51","252.70","240.67","237.45","229.48","254.54","233.43","231.91","251.22","280.95","266.86","257.12","265.71","238.49","284.73","247.82","242.60","218.77","279.38","273.59","279.44","297.07","290.93","224.24","209.99","256.88","256.36","223.43","194.46","277.41","270.79","280.92","277.42","288.99"
"Ottawa, Ontario (0616) 1","100.00","97.79","102.30","99.30","107.32","103.15","95.44","107.67","118.14","113.39","117.42","113.89","113.87","131.20","151.38","130.63","135.67","135.92","139.43","148.64","148.37","144.80","122.52","103.47","105.64","121.50","103.67","100.27","108.10","126.81","128.66","119.14","176.06","141.84","140.01","128.07","131.35","104.39","112.77","114.71","109.76","116.79","125.36","136.09","147.23","181.94","188.15","207.03","195.65","200.98","211.78","215.33","206.08","219.56","226.02","231.31","211.64","214.35","208.52","189.90","184.43","192.06","193.44","197.39","191.01","188.47","193.81","203.70","191.00","189.63","177.06","186.45","168.61","197.21","147.51","134.44","122.53","142.83","139.77","122.35","109.73","154.12","147.18","136.06","188.91","181.06","184.68","184.29","197.60","195.05","180.98","178.12","168.87","176.19","183.07","186.54","194.69","214.57","225.05","234.43","212.92","222.85","221.18","235.03","228.59","245.82","256.02","248.50","260.69","267.25","251.80","247.73","241.19","252.46","240.18","248.44","271.96","260.53","264.02","272.31","240.49","252.60","246.18","240.78","218.57","273.95","219.30","210.16","222.58","227.16","185.69","178.85","193.90","223.48","199.88","191.07","240.21","237.41","255.05","240.02","249.34"
"Hamilton, Ontario (0349) 1","100.00","102.52","98.40","102.99","104.16","105.01","99.00","110.66","123.25","124.75","126.98","123.46","115.72","143.94","156.42","144.05","157.24","145.92","146.82","155.96","172.27","179.96","170.52","145.95","160.02","152.34","152.34","129.14","123.73","160.09","153.19","144.98","179.55","172.13","164.53","164.21","168.85","160.33","157.06","159.37","162.81","167.09","162.45","160.24","169.66","160.18","161.04","156.74","163.26","156.93","155.75","163.93","168.72","177.28","166.20","163.62","180.71","177.19","183.93","168.91","159.08","159.61","156.71","166.34","167.28","147.26","163.38","182.49","163.55","178.18","169.80","164.66","153.89","194.23","172.96","160.99","148.46","157.74","161.17","153.00","148.78","172.98","175.81","162.66","204.01","190.54","193.73","206.67","209.57","208.94","186.99","178.69","178.63","188.97","188.21","182.66","194.57","168.74","180.06","175.14","173.25","176.11","171.84","188.62","175.47","179.85","199.11","187.33","206.58","202.94","202.80","186.73","196.37","190.21","177.63","190.89","208.65","190.73","197.22","211.21","193.71","209.51","191.92","195.02","170.08","239.01","220.06","208.29","216.41","191.75","203.66","180.05","183.48","187.50","182.80","177.35","233.44","222.88","225.45","215.40","224.84"
