Date,"St. John's, Newfoundland (792) 1","Halifax, Nova Scotia (0348) 1","Moncton, New Brunswick (0539) 1","Quebec, Quebec (0685) 1","Trois-Rivieres, Quebec (0953) 1","Sherbrooke, Quebec (0758) 1","Montreal, Quebec (0547) 1","Ottawa, Ontario (0616) 1","Hamilton, Ontario (0349) 1","Kitchener, Ontario (0419) 1","St. Catharines - Niagara Falls, Ontario (0788) 1","Barrie, Ontario (0043) 1","London, Ontario (0480) 1","Milton, Ontario (0532) 1","Toronto, Ontario (0944) 1","Kingston, Ontario (0415) 1","Kanata, Ontario (0399) 1","Guelph, Ontario (0343) 1","Oshawa, Ontario (0614) 1","Windsor, Ontario (1032) 1","Winnipeg, Manitoba (1036) 1","Saskatoon, Saskatchewan (0738) 1","Regina, Saskatchewan (0698) 1","Calgary, Alberta (0115) 1","Edmonton, Alberta (0252) 1","Abbotsford, British Columbia (1048) 1","Kelowna, British Columbia (0403) 1","White Rock, British Columbia (1021) 1","Vancouver, British Columbia (0973) 1","Victoria, British Columbia (0984) 1"
2020-08-10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2020-08-17,111.81,103.25,108.05,107.75,106.45,97.3,89.2,97.79,102.52,102.39,101.99,105.47,104.71,105.21,104.41,100.39,95.98,99.84,94.44,110.03,96.72,83.17,113.86,102.18,101.17,102.24,106.54,103.06,103.2,95.7
2020-08-24,122.82,103.77,120.78,124.25,114.34,105.15,87.22,102.3,98.4,102.29,107.97,91.52,105.12,111.46,106.39,102.75,104.8,110.16,100.71,103.8,107.63,87.45,125.68,114.89,102.53,116.43,111.33,102.93,101.99,106.75
2020-08-31,115.91,92.11,113.63,103.23,99.36,113.17,98.07,99.3,102.99,96.18,102.55,85.22,97.75,110.77,109.65,87.64,98.61,95.79,101.17,100.01,102.63,88.93,116.35,109.88,99.17,103.3,105.51,98.76,101.32,95.76
2020-09-07,118.19,111.06,130.73,127.96,117.63,127.81,102.95,107.32,104.16,102.04,103.14,86.94,91.95,121.46,112.93,112.05,112.09,94.75,106.13,95.91,109.43,95.06,137.23,119.03,105.71,114.34,127.46,101.63,109.63,104.56
2020-09-14,149.29,107.5,134.45,114.26,113.74,129.3,97.83,103.15,105.01,96.03,104.61,83.28,98.32,113.39,109.35,104.55,106.19,103.41,99.37,102.88,113.01,84.07,124.97,120.31,101.66,112.39,116.38,109.31,108.88,106.64
2020-09-21,139.92,101.47,133.52,80.63,101.25,108.07,101.43,95.44,99,96.4,103.3,72.82,90.79,111.34,105.25,96.02,100.9,97.18,100.04,105.14,107.05,78.92,122.13,105.16,103.27,115,99.12,109.99,101.24,103.62
2020-09-28,194.67,110.83,175.36,97.85,120.78,123.58,126.71,107.67,110.66,95.9,121.17,89.23,105.32,129.2,117.49,123.47,122.9,111.45,121.1,119.49,124.78,102.29,156.75,126.93,122.79,142.61,123.02,128.32,113.15,124.79
2020-10-05,223.12,126.49,191.65,95.72,128.54,139.34,122.02,118.14,123.25,113.46,132.7,95.46,122.42,142.45,122.41,140.76,134.78,129.32,129.97,134.46,137.18,108.28,162.23,140.53,135.64,155.05,136.45,152.81,129.63,132.11
2020-10-12,219.94,123.53,163.74,97.68,132.7,147.21,119.81,113.39,124.75,122.71,131.48,99.34,113.37,146.25,148.77,131.49,132.41,134.56,137.33,141.32,146.6,110.23,183.57,140.18,135.61,162.86,141.38,155.38,126.71,139.7
2020-10-19,221.57,132.26,157.59,117.22,124.45,143.67,115.92,117.42,126.98,112.67,138.59,92.77,130.64,150.18,119.13,122.32,124.51,134.07,138.18,140.02,139.27,119.27,175.01,135.04,137.26,165.92,139.74,146.35,135.08,145.12
2020-10-26,219.9,140.5,190.76,126.7,132.32,165.43,124.55,113.89,123.46,139.51,148.2,88.05,132.8,142.95,116.39,144.75,133,130.78,141.58,137.8,133.86,120.51,171.15,128.36,133.28,173.38,139.06,145.31,133.95,154.12
2020-11-02,229.14,130.85,169.19,123.7,97.61,145.1,128.25,113.87,115.72,132.17,131.19,82.11,122.56,122.66,122.88,125.88,138.83,125.94,137.52,125.76,130.36,116.81,185.42,141.81,144.56,153.4,124.9,115.42,136.37,144.06
2020-11-09,286.05,145.2,234.26,158.12,168.86,178.99,137.51,131.2,143.94,152.71,176.72,117.7,151.88,161.8,128.33,175.41,170.8,166.09,163.23,158.08,137.12,140.38,220.08,149.16,159.73,198.1,167,180.12,144.18,179.55
2020-11-16,322.45,162,231.78,151.78,204.4,207.29,150.78,151.38,156.42,206.02,187.08,141.28,145.47,178.34,140.56,188.79,184.69,174.53,177.8,161.19,141.32,117.96,208.47,148.36,159.61,202.16,177.09,187.39,139.9,194.3
