Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020-08-01,94359,26608,163927,39857,78133
2020-09-01,97162,27131,167771,40417,79516
2020-10-01,98337,27419,169883,41094,80810
2020-11-01,98790,27401,171352,41144,81055
2020-12-01,99849,27907,173829,42105,83139
2021-01-01,99813,28075,174787,42333,84532
2021-02-01,100604,28230,175927,42555,84629
2021-03-01,100694,28480,176693,42811,85142
2021-04-01,100977,28482,176785,42791,85184
2021-05-01,101354,28435,177325,42873,85275
2021-06-01,101759,28356,176687,43038,85761
2021-07-01,102359,28703,179769,43203,86011
2021-08-01,102903,28703,180121,43200,86179
2021-09-01,103105,28823,180900,43050,86527
2021-10-01,103590,28917,181913,43256,87088
2021-11-01,104059,29054,183823,43427,87283
2021-12-01,104414,29156,183293,43476,87519
2022-01-01,104687,30275,184366,43546,88549
2022-02-01,104672,30309,184997,43609,87942
2022-03-01,104914,30323,185176,43541,87862
2022-04-01,105204,30501,186484,43744,88148
2022-05-01,105331,30633,187155,43823,88261
2022-06-01,105619,30620,187261,43829,88250
2022-07-01,105578,30592,187576,43866,88403
2022-08-01,105474,30646,187878,43952,88579
2022-09-01,105823,30638,188153,43973,88560
2022-10-01,105837,30622,188245,44098,88409
2022-11-01,105743,30664,188963,44185,88536
2022-12-01,106041,30687,189238,44386,88599
2023-01-01,107054,30933,192016,44758,90507
