Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020/8/1,104.7,99.4,98.2,93.4,110.7
2020/9/1,102.3,96.7,95.1,93.1,108.3
2020/10/1,101,97.2,95.2,94.4,109.3
2020/11/1,102.5,99.6,98.3,96.2,116.1
2020/12/1,107,104.2,104.4,100.2,117.8
2021/1/1,110.7,111.5,109.1,105.6,120.7
2021/2/1,114.8,113.8,114.2,111.3,128.4
2021/3/1,119.7,116.4,118.4,117.6,134.9
2021/4/1,119.1,118.5,120.1,120.4,137.1
2021/5/1,120.4,121,122.5,123.6,140.8
2021/6/1,123.1,123.8,125.6,123.9,145.8
2021/7/1,126.3,127.2,127.3,123.2,150
2021/8/1,127.1,126.8,127.3,123.9,152.9
2021/9/1,131.7,130.2,130.6,125.1,153
2021/10/1,143.2,140.6,141.3,138.3,161.2
2021/11/1,146.6,143,142.8,136.5,163.1
2021/12/1,146.1,140.6,140.8,136.4,162.1
2022/1/1,152.3,147.7,149.4,139.8,176.5
2022/2/1,164.9,158.8,159.7,146.8,181.2
2022/3/1,198.5,190.8,190.1,177.4,209.9
2022/4/1,208.2,199.1,198,173.7,211.9
2022/5/1,246.1,228.3,225.9,185.3,232.4
2022/6/1,233.1,228.1,220.3,196.3,250.1
2022/7/1,214.8,199.3,193.1,179.7,216.6
2022/8/1,200.3,186.9,182.1,170.4,201.5
2022/9/1,199,188.7,184.2,172.5,210.6
2022/10/1,231.9,220.8,216.4,190.3,233.3
2022/11/1,241.6,225.2,217.3,194.5,227.8
2022/12/1,228.3,214.2,207.7,182.4,196.5
2023/1/1,226.8,201.1,194.5,169,197.8
2023/2/1,198.5,172.9,167.1,152.4,194.8
2023/3/1,188.3,169.2,162.9,144.6,188.2
