"Date","Montreal","Ottawa","Toronto","Calgary","Vancouver"
2020-08-01,94.6,98.9,102.2,101.09,101.6
2020-09-01,96.52,103.02,109.58,116.03,105.46
2020-10-01,117.49,108.66,123.48,128.2,117.68
2020-11-01,131.4,125.55,125.46,140.55,137.9
2020-12-01,147.39,135.41,127.56,145.75,140.84
2021-01-01,163.33,141.08,143.16,141.8,177.49
2021-02-01,165.27,108.57,130.43,135.54,158.4
2021-03-01,162.49,116.6,118.59,154.78,153.59
2021-04-01,209.63,146.5,151.23,184.93,180.76
2021-05-01,209.22,114.6,143.37,170.29,160.58
2021-06-01,216.19,131.37,158.19,180.29,165.35
2021-07-01,213.82,193.19,162.25,199.12,183.33
2021-08-01,219.11,210.75,173.55,217.13,193.73
2021-09-01,205.92,220.83,182.81,240.61,212.97
2021-10-01,217.14,193.73,177.36,208.02,202.03
2021-11-01,223.9,192.82,184.57,207.94,200.87
2021-12-01,215.2,190.35,191.24,220.04,204.19
2022-01-01,184.61,166.84,175.68,196.24,194.09
2022-02-01,181.7,131.87,152.94,197.54,191.54
2022-03-01,197.25,136.77,172.35,222.32,205.58
2022-04-01,257.64,184.74,212.8,270.88,233.24
2022-05-01,258.5,184.12,213.2,268.75,219.87
2022-06-01,252.77,185.12,222.83,319.77,218.4
2022-07-01,222.22,221.74,217.01,307.92,217.34
2022-08-01,245.13,230.69,216.25,308,221.6
2022-09-01,254.05,258.12,235.11,339.32,243.48
2022-10-01,237.36,246.67,229.64,333.56,241.22
2022-11-01,264.04,261.24,244.17,340.72,264.4
2022-12-01,259.19,252.9,253.26,346.56,263.29
2023-01-01,258.76,232.55,246.38,353.76,268.26
2023-02-01,255.56,203.57,230.69,332.74,259.38
2023-03-01,232.78,202.08,215.1,342.48,254.66
2023-04-01,276.37,244.22,256.89,402.73,290.74
