Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020-09-01,93.62,99.85,105.11,106.74,101.63
2020-10-01,107.23,103.39,111.25,117.86,108.22
2020-11-01,122.11,115.34,125.92,137.18,132.35
2020-12-01,147.69,137.22,131.47,148.71,140.83
2021-01-01,155.14,143.09,134.18,139.74,156.87
2021-02-01,163.44,119.11,139.36,143.25,173.7
2021-03-01,157.58,112.07,118.77,144.28,156.56
2021-04-01,191.69,141.43,140.75,173.03,165.17
2021-05-01,218.13,123.32,143.59,177.59,169.86
2021-06-01,195.19,116.66,148.76,167.25,156.79
2021-07-01,225.21,163.35,165.32,193.49,174.17
2021-08-01,217.49,206.15,167.81,207.54,188.87
2021-09-01,214.95,220.74,178.28,233.95,207.49
2021-10-01,200.56,206.1,181.64,224.86,212.39
2021-11-01,226.54,191.67,183.03,204.24,198.48
2021-12-01,216.07,194.24,181.15,213.03,199.28
2022-01-01,198.94,183.79,188.13,213.07,200.96
2022-02-01,189.3,136.83,162.08,189.77,191.62
2022-03-01,178.55,131.49,159.74,213.62,206.59
2022-04-01,231.9,163.3,193.62,242.27,209.1
2022-05-01,268.24,188.52,214.57,272.06,233.01
2022-06-01,239.75,176.56,211.27,295.19,207.77
2022-07-01,243.6,205.21,226.66,315.88,222.22
2022-08-01,233.94,225.28,214.26,303.54,215.95
2022-09-01,252.84,244.73,223.71,324.21,236.42
2022-10-01,242.97,253.73,227.01,336.72,243.88
2022-11-01,249.38,253.26,243.03,347.2,249.78
2022-12-01,257.04,259.34,248.22,327.84,267.6
2023-01-01,254.66,246.42,250.44,357.92,255.25
2023-02-01,285.26,219.8,252.04,342.97,281.24
2023-03-01,236.87,195.48,214.4,341.34,260.39
2023-04-01,231.77,210.39,225.2,356.7,255.16
