Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020-08-01,93.62,99.85,105.11,106.74,101.63
2020-09-01,107.23,103.39,111.25,117.86,108.22
2020-10-01,120.58,115.71,126.67,136.03,131.34
2020-11-01,143.8,132.55,129.75,147.33,139.94
2020-12-01,155.14,143.09,134.18,139.74,156.87
2021-01-01,163.44,119.11,139.36,143.25,173.7
2021-02-01,154.69,108.38,115.26,136.03,152.08
2021-03-01,187.18,138.5,139.17,173.88,167.04
2021-04-01,216.34,125.96,143.99,177.62,173.56
2021-05-01,201.21,115.88,147.41,169.29,156.44
2021-06-01,225.21,163.35,165.32,193.49,174.17
2021-07-01,211.27,203.86,166.41,204.32,188.87
2021-08-01,220.43,219.66,177.31,231.25,203.76
2021-09-01,200.56,206.1,181.64,224.86,212.39
2021-10-01,227.64,191.83,184.9,200.68,195.18
2021-11-01,217.28,193.6,180.03,214.13,201.76
2021-12-01,203.31,180.44,187.86,213.51,200.98
2022-01-01,187.73,148.9,167.5,194.08,193.47
2022-02-01,178.55,131.49,159.74,213.62,206.59
2022-03-01,231.9,163.3,193.62,242.27,209.1
2022-04-01,264.29,190.4,214.74,272.74,236.29
2022-05-01,248.61,177.45,211.79,290.02,210.2
2022-06-01,243.6,205.21,226.66,315.88,222.22
2022-07-01,224.34,222.84,214.04,301.7,216.38
2022-08-01,256.73,242.79,221.99,321.55,231.97
2022-09-01,240.07,256.87,229.3,339.64,247.51
2022-10-01,250.41,250.85,238,342.77,245.69
2022-11-01,257.04,259.34,248.22,327.84,267.6
2022-12-01,248.48,239.53,244.07,345.78,240.53
2023-01-01,284.08,230.63,256.81,355.67,287.82
2023-02-01,236.87,195.48,214.4,341.34,260.39
2023-03-01,241.52,217.14,232.33,365.88,261.95
2023-04-01,282.44,248.14,257.23,402.81,291.55
