Dste,Montreal,Toronto,Ottawa,Calgary,Vancouver
2020-08-01,"6,066,009","9,095,052","1,917,230","2,223,534","3,772,997"
2020-09-01,"6,089,408","9,740,680","1,946,275","2,359,216","3,958,998"
2020-10-01,"6,126,599","9,396,353","1,886,208","2,421,213","3,938,150"
2020-11-01,"6,256,342","9,878,429","1,948,339","2,383,562","4,036,927"
2020-12-01,"5,892,643","9,649,988","2,003,917","2,354,823","4,356,022"
2021-01-01,"4,153,495","7,686,632","1,432,597","1,958,181","3,609,128"
2021-02-01,"4,933,522","7,420,757","1,596,039","1,903,084","3,549,989"
2021-03-01,"6,354,237","9,523,281","2,033,046","2,332,995","4,104,277"
2021-04-01,"6,951,360","8,748,062","1,799,874","2,429,560","4,240,308"
2021-05-01,"7,022,896","9,274,373","1,992,527","2,422,661","4,423,835"
2021-06-01,"6,828,247","10,031,272","2,213,136","2,565,982","4,488,723"
2021-07-01,"6,795,533","10,282,961","2,237,265","2,479,927","4,379,596"
2021-08-01,"6,580,896","10,401,361","2,160,672","2,454,033","4,335,181"
2021-09-01,"6,469,629","10,170,456","2,158,815","2,521,949","4,304,083"
2021-10-01,"6,567,722","10,538,116","2,113,891","2,529,878","4,322,797"
2021-11-01,"6,694,625","11,016,422","2,252,530","2,566,161","4,446,571"
2021-12-01,"6,645,217","11,307,342","2,147,283","2,523,414","4,683,063"
2022-01-01,"5,481,675","9,054,545","1,616,804","2,067,944","3,856,708"
2022-02-01,"5,576,149","9,155,373","1,583,171","2,053,225","3,828,921"
2022-03-01,"6,660,853","11,115,092","1,946,794","2,514,929","4,417,824"
2022-04-01,"7,068,165","11,369,722","2,081,404","2,499,167","4,469,002"
2022-05-01,"7,794,248","12,270,174","2,255,754","2,768,210","4,581,355"
2022-06-01,"7,620,741","12,480,331","2,245,069","2,688,792","4,778,994"
2022-07-01,"7,239,884","11,198,287","2,234,285","2,657,715","4,537,127"
2022-08-01,"7,357,824","11,173,552","2,234,243","2,685,349","4,730,627"
2022-09-01,"6,961,177","11,407,717","2,186,896","2,600,404","4,455,164"
2022-10-01,"7,353,806","11,358,885","2,141,435","2,668,145","4,430,304"
2022-11-01,"7,489,190","11,868,129","2,188,944","2,659,360","4,643,765"
2022-12-01,"7,616,631","11,915,575","2,248,624","2,802,688","4,745,183"
2023-01-01,"5,851,940","9,129,793","1,670,731","2,288,198","3,997,392"
2023-02-01,"5,954,678","9,083,938","1,639,977","2,291,598","3,725,253"
