Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020/8/1,11.5,9.4,13.9,14.1,12.9
2020/9/1,10.3,8.5,12.8,12.8,11.2
2020/10/1,9.4,7.9,11.3,11.9,9.9
2020/11/1,8.5,7,10.5,11.4,8.3
2020/12/1,8.3,6.8,10.6,10.7,7.8
2021/1/1,8.5,6.7,11.3,10.6,8
2021/2/1,8.3,6.5,11.6,10.7,7.8
2021/3/1,8.2,6.2,10.8,10.4,7.7
2021/4/1,7.7,6.3,10,9.7,7.3
2021/5/1,7.6,7,9.9,9,7.5
2021/6/1,7.4,7.5,10.2,9.2,7.5
2021/7/1,7.2,7.1,10,9.4,7.5
2021/8/1,6.9,6.3,9.3,9.2,7.2
2021/9/1,6.7,5.6,8.8,8.5,6.8
2021/10/1,6.4,5.1,8.2,7.9,6.3
2021/11/1,5.9,4.3,7.7,8.1,5.9
2021/12/1,5.4,4.2,7.3,7.8,5.7
2022/1/1,5.2,4.5,7.8,7.9,5.6
2022/2/1,5.2,4.7,7.6,7.4,5.2
2022/3/1,5,4.5,7.3,7.2,5
2022/4/1,4.8,4.1,6.4,7,4.9
2022/5/1,4.7,4,6.2,6.6,4.9
2022/6/1,4.8,3.9,6.1,5.8,4.7
2022/7/1,4.8,3.9,5.8,5.2,4.6
2022/8/1,4.9,3.8,5.8,5,4.5
2022/9/1,4.9,4,5.9,5.4,4.3
2022/10/1,4.8,4,6.2,5.7,4.4
2022/11/1,4.5,4.1,6.3,6.1,4.5
2022/12/1,4.4,4,6.2,6.3,4.7
2023/1/1,4.5,3.8,6,6.6,4.6
2023/2/1,4.7,4.1,5.8,6.6,4.8
2023/3/1,4.8,4.1,5.8,6.6,4.9
2023/4/1,4.8,4.2,5.6,6.4,5.1
