date,retail_sales,unemployment_rate,consumer_confidence,diesel_price,wages,population,active business,lbci,lbci_1week,lbci_2week,lbci_3week,lbci_4week,lbci_1month,lbci_2month,lbci_3month,lbci_4month
2020-08-01,6066009,11.5,100.21,104.7,1028.32,3609.8,94359,93.62,92.14,94.6,100,#N/A,#N/A,#N/A,#N/A,#N/A
2020-09-01,6089408,10.3,120.43,102.3,1007.15,3614.1,97162,107.23,100.07,96.52,94.36,93.62,93.62,#N/A,#N/A,#N/A
2020-10-01,6126599,9.4,95.47,101,1027.69,3618.7,98337,120.58,121.11,117.49,112,107.23,107.23,93.62,#N/A,#N/A
2020-11-01,6256342,8.5,105.78,102.5,1023.97,3623,98790,143.8,135.9,131.4,125.21,122.11,120.58,107.23,93.62,#N/A
2020-12-01,5892643,8.3,103.83,107,1019.27,3626.2,99849,155.14,152.39,147.39,148.89,147.69,143.8,120.58,107.23,93.62
2021-01-01,4153495,8.5,112.91,110.7,1044.69,3629,99813,163.44,164.84,163.33,157.77,155.14,155.14,143.8,120.58,107.23
2021-02-01,4933522,8.3,118.9,114.8,1021.4,3631.7,100604,154.69,159.04,165.27,172.55,163.44,163.44,155.14,143.8,120.58
2021-03-01,6354237,8.2,128.57,119.7,1029.19,3634,100694,187.18,174.8,162.49,155.57,157.58,154.69,163.44,155.14,143.8
2021-04-01,6951360,7.7,126.07,119.1,1034.18,3635.9,100977,216.34,212.77,209.63,200.15,191.69,187.18,154.69,163.44,155.14
2021-05-01,7022896,7.6,132.33,120.4,1032.26,3637.1,101354,201.21,204.33,209.22,214.39,218.13,216.34,187.18,154.69,163.44
2021-06-01,6828247,7.4,142.81,123.1,1033.79,3638.2,101759,225.21,231.13,216.19,200.91,195.19,201.21,216.34,187.18,154.69
2021-07-01,6795533,7.2,146.59,126.3,1043.91,3639.7,102359,211.27,202.28,213.82,223.74,225.21,225.21,201.21,216.34,187.18
2021-08-01,6580896,6.9,127.56,127.1,1060,3641.8,102903,220.43,217.52,219.11,218.04,217.49,211.27,225.21,201.21,216.34
2021-09-01,6469629,6.7,124.29,131.7,1055.66,3644.2,103105,200.56,210.82,205.92,210.43,214.95,220.43,211.27,225.21,201.21
2021-10-01,6567722,6.4,133.6,143.2,1054.26,3646.7,103590,227.64,220.16,217.14,208.47,200.56,200.56,220.43,211.27,225.21
2021-11-01,6694625,5.9,123.37,146.6,1056.49,3649,104059,217.28,222.04,223.9,226.47,226.54,227.64,200.56,220.43,211.27
2021-12-01,6645217,5.4,117.22,146.1,1058.05,3651.4,104414,203.31,213.08,215.2,219.24,216.07,217.28,227.64,200.56,220.43
2022-01-01,5481675,5.2,108.18,152.3,1077.28,3653.6,104687,187.73,179.39,184.61,187.15,198.94,203.31,217.28,227.64,200.56
2022-02-01,5576149,5.2,118.36,164.9,1075.57,3655.9,104672,178.55,180.66,181.7,187.43,189.3,187.73,203.31,217.28,227.64
2022-03-01,6660853,5,105.85,198.5,1075.01,3658.2,104914,231.91,217.14,197.25,186.01,178.55,178.55,187.73,203.31,217.28
2022-04-01,7068165,4.8,118.56,208.2,1081.89,3660.8,105204,264.29,259.68,257.64,244.74,231.9,231.91,178.55,187.73,203.31
2022-05-01,7794248,4.7,103.31,246.1,1094.39,3664.2,105331,248.61,252.7,258.5,265.99,268.24,264.29,231.91,178.55,187.73
2022-06-01,7620741,4.8,91.96,233.1,1112.26,3668.2,105619,243.6,255.08,252.77,242.74,239.75,248.61,264.29,231.91,178.55
2022-07-01,7239884,4.8,92.41,214.8,1127.44,3672.5,105578,224.34,214.27,222.22,233.87,243.6,243.6,248.61,264.29,231.91
2022-08-01,7357824,4.9,90.76,200.3,1131.08,3676.7,105474,256.73,252.05,245.13,237.5,233.94,224.34,243.6,248.61,264.29
2022-09-01,6961177,4.9,97.25,199,1114.05,3681.1,105823,240.08,251.08,254.05,257.4,252.84,256.73,224.34,243.6,248.61
2022-10-01,7353806,4.8,93.01,231.9,1121.69,3685.7,105837,250.41,240.12,237.36,239.11,242.97,240.08,256.73,224.34,243.6
2022-11-01,7489190,4.5,87.23,241.6,1131.15,3690.2,105743,257.05,267.66,264.04,257.74,249.38,250.41,240.08,256.73,224.34
2022-12-01,7616631,4.4,86.5,228.3,1135.81,3694.7,106041,248.48,253.41,259.19,261.51,257.04,257.05,250.41,240.08,256.73
2023-01-01,5851940,4.5,93.67,226.8,1144.66,3699.8,107054,284.08,269.65,258.76,252.43,254.66,248.48,257.05,250.41,240.08
2023-02-01,5954678,4.7,#N/A,198.5,1146.54,3705.2,#N/A,236.87,245.51,255.56,272.92,285.26,284.08,248.48,257.05,250.41
2023-03-01,#N/A,4.8,#N/A,188.3,1138.31,3711.1,#N/A,241.52,237.92,232.78,236.67,236.87,236.87,284.08,248.48,257.05
2023-04-01,#N/A,4.8,#N/A,#N/A,1145.13,#N/A,#N/A,289,276.38,276.37,247.55,231.77,241.52,236.87,284.08,248.48
