date,retail_sales,unemployment rate,consumer_confidence,diesel_price,wages,population,active business,lbci,lbci_1week,lbci_2week,lbci_3week,lbci_4week,lbci_1month,lbci_2month,lbci_3month,lbci_4month
2020-08-01,9095052,13.9,75.31,98.2,1139.75,5505,163927,105.11,103.6,102.2,100,#N/A,#N/A,#N/A,#N/A,#N/A
2020-09-01,9740680,12.8,72.96,95.1,1137.85,5512.3,167771,111.26,109.3,109.58,108.34,105.11,105.11,#N/A,#N/A,#N/A
2020-10-01,9396353,11.3,64.83,95.2,1136.17,5519.3,169883,126.68,126.95,123.48,113.62,111.25,111.26,105.11,#N/A,#N/A
2020-11-01,9878429,10.5,66.61,98.3,1125.43,5526.1,171352,129.75,127.17,125.46,127.1,125.92,126.68,111.26,105.11,#N/A
2020-12-01,9649988,10.6,80.55,104.4,1128.07,5531.5,173829,134.18,129.4,127.56,131.72,131.47,129.75,126.68,111.26,105.11
2021-01-01,7686632,11.3,79.72,109.1,1175.19,5536.1,174787,139.36,141.8,143.16,138.18,134.18,134.18,129.75,126.68,111.26
2021-02-01,7420757,11.6,86.92,114.2,1155.7,5540.8,175927,115.26,124.33,130.43,136.84,139.36,139.36,134.18,129.75,126.68
2021-03-01,9523281,10.8,99.29,118.4,1146.29,5545.8,176693,139.17,129.44,118.59,117.12,118.77,115.26,139.36,134.18,129.75
2021-04-01,8748062,10,93.67,120.1,1169.7,5551.1,176785,143.99,146.76,151.23,146.84,140.75,139.17,115.26,139.36,134.18
2021-05-01,9274373,9.9,97.93,122.5,1160.77,5555.3,177325,147.41,145.15,143.37,142.24,143.59,143.99,139.17,115.26,139.36
2021-06-01,10031272,10.2,113.69,125.6,1153.44,5559.1,176687,165.32,162.72,158.19,152.95,148.76,147.41,143.99,139.17,115.26
2021-07-01,10282961,10,120.43,127.3,1158.23,5563.6,179769,166.41,163.21,162.25,167.61,165.32,165.32,147.41,143.99,139.17
2021-08-01,10401361,9.3,115.04,127.3,1159.38,5569.7,180121,177.31,176.29,173.55,167.66,167.81,166.41,165.32,147.41,143.99
2021-09-01,10170456,8.8,106.74,130.6,1170.19,5576.7,180900,181.64,183.16,182.81,182.11,178.28,177.31,166.41,165.32,147.41
2021-10-01,10538116,8.2,106.55,141.3,1160.29,5584,181913,184.9,183,177.36,178.98,181.64,181.64,177.31,166.41,165.32
2021-11-01,11016422,7.7,107.43,142.8,1161.54,5591.1,183823,180.03,181.21,184.57,184.65,183.03,184.9,181.64,177.31,166.41
2021-12-01,11307342,7.3,101.85,140.8,1169.08,5599.6,183293,187.87,189.95,191.24,184.76,181.15,180.03,184.9,181.64,177.31
2022-01-01,9054545,7.8,100.42,149.4,1210.66,5608.4,184366,167.5,167.44,175.68,182.52,188.13,187.87,180.03,184.9,181.64
2022-02-01,9155373,7.6,90.71,159.7,1189.13,5618,184997,159.74,155.07,152.94,157.85,162.08,167.5,187.87,180.03,184.9
2022-03-01,11115092,7.3,95.86,190.1,1182.43,5626.7,185176,193.63,188.15,172.35,166.92,159.74,159.74,167.5,187.87,180.03
2022-04-01,11369722,6.4,90.45,198,1193.25,5634.6,186484,214.74,211.46,212.8,200.65,193.62,193.63,159.74,167.5,187.87
2022-05-01,12270174,6.2,82.41,225.9,1201.67,5641.9,187155,211.79,213.36,213.2,213.95,214.57,214.74,193.63,159.74,167.5
2022-06-01,12480331,6.1,77.65,220.3,1218.64,5648.9,187261,226.67,224.95,222.83,217.08,211.27,211.79,214.74,193.63,159.74
2022-07-01,11198287,5.8,72.46,193.1,1212.63,5655.8,187576,214.04,215.15,217.01,223.63,226.66,226.67,211.79,214.74,193.63
2022-08-01,11173552,5.8,73.01,182.1,1225.89,5663.1,187878,221.99,219.83,216.25,213.57,214.26,214.04,226.67,211.79,214.74
2022-09-01,11407717,5.9,75.92,184.2,1246.13,5670.8,188153,229.3,231.42,235.11,229.86,223.71,221.99,214.04,226.67,211.79
2022-10-01,11358885,6.2,72.68,216.4,1235.39,5680,188245,238,231.5,229.64,224.53,227.01,229.3,221.99,214.04,226.67
2022-11-01,11868129,6.3,61.82,217.3,1245.8,5689.3,188963,248.22,251.22,244.17,250.31,243.03,238,229.3,221.99,214.04
2022-12-01,11915575,6.2,64.59,207.7,1234.47,5699.1,189238,244.08,249.9,253.26,248.64,248.22,248.22,238,229.3,221.99
2023-01-01,9129793,6,71.53,194.5,1250.92,5710.5,192016,256.81,250.49,246.38,249.45,250.44,244.08,248.22,238,229.3
2023-02-01,9083938,5.8,#N/A,167.1,1253.44,5723.6,#N/A,214.41,218.38,230.69,243.18,252.04,256.81,244.08,248.22,238
2023-03-01,#N/A,5.8,#N/A,162.9,1259.07,5739.7,#N/A,232.33,226.56,215.1,212.37,214.4,214.41,256.81,244.08,248.22
2023-04-01,#N/A,5.6,#N/A,#N/A,1268.22,#N/A,#N/A,254,255.5,256.89,240.5,225.2,232.33,214.41,256.81,244.08
