date,retail_sales,unemployment rate,consumer_confidence,diesel_price,wages,population,active business,lbci,lbci_1week,lbci_2week,lbci_3week,lbci_4week,lbci_1month,lbci_2month,lbci_3month,lbci_4month
2020-08-01,3772997,12.9,86.47,110.7,1095.68,139433,78133,101.63,101.73,101.6,100,#N/A,#N/A,#N/A,#N/A,#N/A
2020-09-01,3958998,11.2,84.72,108.3,1090.67,141505,79516,108.23,105.27,105.46,104.03,101.63,101.63,#N/A,#N/A,#N/A
2020-10-01,3938150,9.9,96.95,109.3,1085.5,143386,80810,131.34,126.14,117.68,113.22,108.22,108.23,101.63,#N/A,#N/A
2020-11-01,4036927,8.3,78.6,116.1,1086.26,143794,81055,139.94,138.22,137.9,135.26,132.35,131.34,108.23,101.63,#N/A
2020-12-01,4356022,7.8,106.63,117.8,1103.56,146974,83139,156.87,145.85,140.84,140.5,140.83,139.94,131.34,108.23,101.63
2021-01-01,3609128,8,109.74,120.7,1110.87,148201,84532,173.7,179.55,177.49,167.14,156.87,156.87,139.94,131.34,108.23
2021-02-01,3549989,7.8,103.21,128.4,1110.94,148834,84629,152.08,152.88,158.4,166.65,173.7,173.7,156.87,139.94,131.34
2021-03-01,4104277,7.7,135.33,134.9,1113.33,149992,85142,167.04,162.1,153.59,154.85,156.56,152.08,173.7,156.87,139.94
2021-04-01,4240308,7.3,117.27,137.1,1134.09,149757,85184,173.57,179.8,180.76,172.41,165.17,167.04,152.08,173.7,156.87
2021-05-01,4423835,7.5,136.88,140.8,1148.89,150161,85275,156.44,156.12,160.58,165.22,169.86,173.57,167.04,152.08,173.7
2021-06-01,4488723,7.5,135.39,145.8,1128.18,150748,85761,174.17,169.59,165.35,159.77,156.79,156.44,173.57,167.04,152.08
2021-07-01,4379596,7.5,135.33,150,1140.32,151251,86011,188.87,186.87,183.33,178.72,174.17,174.17,156.44,173.57,167.04
2021-08-01,4335181,7.2,143.74,152.9,1138.76,151714,86179,203.76,198.57,193.73,191.44,188.87,188.87,174.17,156.44,173.57
2021-09-01,4304083,6.8,129.45,153,1138.29,152134,86527,212.39,213.54,212.97,211.4,207.49,203.76,188.87,174.17,156.44
2021-10-01,4322797,6.3,143.8,161.2,1150.74,152926,87088,195.18,196,202.03,206.33,212.39,212.39,203.76,188.87,174.17
2021-11-01,4446571,5.9,137.62,163.1,1148.71,153197,87283,201.76,203.54,200.87,200.88,198.48,195.18,212.39,203.76,188.87
2021-12-01,4683063,5.7,128.98,162.1,1171.22,153587,87519,200.98,204.49,204.19,201.29,199.28,201.76,195.18,212.39,203.76
2022-01-01,3856708,5.6,126.34,176.5,1175.27,153923,88549,193.47,191.37,194.09,197.85,200.96,200.98,201.76,195.18,212.39
2022-02-01,3828921,5.2,105.93,181.2,1170.72,154136,87942,206.59,197.09,191.54,190.11,191.62,193.47,200.98,201.76,195.18
2022-03-01,4417824,5,123.75,209.9,1163.3,154310,87862,209.1,210.02,205.58,208.72,206.59,206.59,193.47,200.98,201.76
2022-04-01,4469002,4.9,128.74,211.9,1170.89,154800,88148,236.29,235.49,233.24,218.35,209.1,209.1,206.59,193.47,200.98
2022-05-01,4581355,4.9,102.62,232.4,1172,154934,88261,210.2,213.92,219.87,226.89,233.01,236.29,209.1,206.59,193.47
2022-06-01,4778994,4.7,90.39,250.1,1191.83,154971,88250,222.22,219.96,218.4,211.42,207.77,210.2,236.29,209.1,206.59
2022-07-01,4537127,4.6,90.46,216.6,1198.02,155197,88403,216.38,217.58,217.34,222.72,222.22,222.22,210.2,236.29,209.1
2022-08-01,4730627,4.5,92.37,201.5,1191.69,155423,88579,231.97,226.46,221.6,216.81,215.95,216.38,222.22,210.2,236.29
2022-09-01,4455164,4.3,73.16,210.6,1205.34,155472,88560,247.52,247.97,243.48,241.56,236.42,231.97,216.38,222.22,210.2
2022-10-01,4430304,4.4,69.77,233.3,1211.07,155303,88409,245.69,239.58,241.22,243.09,243.88,247.52,231.97,216.38,222.22
2022-11-01,4643765,4.5,67.49,227.8,1219.66,155502,88536,267.6,269.75,264.4,257.66,249.78,245.69,247.52,231.97,216.38
2022-12-01,4745183,4.7,66.22,196.5,1220.98,155822,88599,240.53,258.02,263.29,262.97,267.6,267.6,245.69,247.52,231.97
2023-01-01,3997392,4.6,75.08,197.8,1235.67,156352,90507,287.82,272.59,268.26,265.13,255.25,240.53,267.6,245.69,247.52
2023-02-01,3725253,4.8,#N/A,194.8,1240.94,#N/A,#N/A,260.39,259.78,259.38,267.03,281.24,287.82,240.53,267.6,245.69
2023-03-01,#N/A,4.9,#N/A,188.2,1228.73,#N/A,#N/A,261.95,259.56,254.66,258.47,260.39,260.39,287.82,240.53,267.6
2023-04-01,#N/A,5.1,#N/A,#N/A,1241.65,#N/A,#N/A,284,287.11,290.74,270.57,255.16,261.95,260.39,287.82,240.53
