"Experimental estimates for business openings and closures for Canada, provinces and territories, census metropolitan areas, seasonally adjusted c 1 2"
"Frequency: Monthly"
"Table: 33-10-0270-01"
"Release date: 2023-04-25"
"Geography: Canada, Province or territory, Census metropolitan area"
""
""

"Geography","Halifax, Nova Scotia ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Québec, Quebec ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa - Gatineau, Ontario/Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Toronto, Ontario ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calgary, Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vancouver, British Columbia ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industry","Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business sector industries [T004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business dynamics measure","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active businesses 3","9,334","9,488","9,566","9,629","9,724","9,815","9,867","9,915","9,909","9,866","9,908","9,955","10,002","9,979","10,017","10,074","10,093","10,501","10,485","10,573","10,633","10,647","10,695","10,709","10,701","10,722","10,723","10,737","10,758","10,815","17,797","18,067","18,190","18,215","18,319","18,373","18,413","18,499","18,531","18,604","18,686","18,740","18,804","18,885","18,998","19,057","19,110","19,302","19,305","19,357","19,440","19,458","19,507","19,540","19,539","19,552","19,569","19,576","19,644","19,721","26,608","27,131","27,419","27,401","27,907","28,075","28,230","28,480","28,482","28,435","28,356","28,703","28,703","28,823","28,917","29,054","29,156","30,275","30,309","30,323","30,501","30,633","30,620","30,592","30,646","30,638","30,622","30,664","30,687","30,933","163,927","167,771","169,883","171,352","173,829","174,787","175,927","176,693","176,785","177,325","176,687","179,769","180,121","180,900","181,913","183,823","183,293","184,366","184,997","185,176","186,484","187,155","187,261","187,576","187,878","188,153","188,245","188,963","189,238","192,016","39,857","40,417","41,094","41,144","42,105","42,333","42,555","42,811","42,791","42,873","43,038","43,203","43,200","43,050","43,256","43,427","43,476","43,546","43,609","43,541","43,744","43,823","43,829","43,866","43,952","43,973","44,098","44,185","44,386","44,758","78,133","79,516","80,810","81,055","83,139","84,532","84,629","85,142","85,184","85,275","85,761","86,011","86,179","86,527","87,088","87,283","87,519","88,549","87,942","87,862","88,148","88,261","88,250","88,403","88,579","88,560","88,409","88,536","88,599","90,507"
"Opening businesses 4","472","454","434","455","438","440","425","401","382","350","394","396","392","333","418","412","414","819","429","460","455","412","380","490","408","426","424","418","428","395","636","732","691","730","657","646","626","605","612","543","591","600","608","628","671","579","646","787","683","634","661","640","592","601","595","570","591","554","610","526","1,528","1,435","1,430","1,324","1,347","1,349","1,262","1,290","1,258","1,107","1,230","1,420","1,173","1,235","1,220","1,253","1,232","2,390","1,271","1,249","1,400","1,256","1,228","1,245","1,308","1,266","1,281","1,252","1,223","1,110","12,575","11,746","11,786","10,766","10,747","10,580","10,061","10,073","9,556","9,637","9,731","11,497","9,798","10,056","10,383","10,520","9,606","10,774","11,060","10,380","10,847","10,828","10,039","10,274","10,513","10,078","9,956","9,775","9,840","9,290","2,610","2,586","2,627","2,474","2,538","2,494","2,396","2,360","2,276","2,259","2,271","2,249","2,255","2,261","2,286","2,380","2,227","2,427","2,430","2,368","2,428","2,374","2,188","2,359","2,344","2,276","2,289","2,277","2,339","1,955","4,684","4,682","4,907","4,607","4,715","4,483","4,321","4,240","4,157","4,018","4,085","3,877","4,111","4,155","4,209","4,236","4,143","4,355","4,362","4,298","4,445","4,344","3,918","4,345","4,341","4,174","4,152","4,125","4,025","3,859"
"Continuing businesses 5","8,870","9,017","9,172","9,215","9,294","9,394","9,455","9,515","9,507","9,502","9,451","9,577","9,598","9,640","9,632","9,685","9,685","9,688","10,056","10,090","10,155","10,218","10,282","10,252","10,287","10,288","10,336","10,345","10,338","10,458","17,170","17,319","17,556","17,554","17,668","17,767","17,794","17,865","17,902","18,010","18,035","18,126","18,201","18,270","18,382","18,516","18,475","18,552","18,627","18,676","18,758","18,784","18,871","18,924","18,952","19,000","19,012","19,057","19,054","19,228","25,280","25,757","26,179","26,272","26,525","26,759","26,872","27,042","27,139","27,202","27,085","27,379","27,592","27,666","27,810","27,907","27,930","27,952","28,892","28,932","29,053","29,242","29,362","29,422","29,390","29,447","29,439","29,507","29,505","29,885","152,654","156,347","158,723","160,610","161,999","165,098","165,710","165,966","166,487","167,394","167,153","169,071","170,966","171,024","171,637","172,722","173,298","174,984","174,114","174,136","175,507","176,453","177,445","177,803","177,995","178,073","178,024","178,155","178,436","184,420","37,398","37,921","38,406","38,856","39,114","40,071","40,196","40,411","40,492","40,659","40,772","40,993","40,970","40,857","40,828","41,025","41,024","41,442","41,204","41,131","41,401","41,501","41,617","41,601","41,633","41,731","41,667","41,778","41,748","43,221","74,249","75,179","76,116","77,042","77,913","79,177","80,021","80,623","80,917","81,417","81,697","82,275","82,548","82,704","83,053","83,396","83,266","83,214","83,202","83,239","83,660","83,996","84,299","84,317","84,608","84,715","84,530","84,772","84,661","85,687"
"Closing businesses","302","306","303","380","321","337","352","353","392","394","382","304","363","378","372","369","395","397","426","390","396","399","331","432","440","430","423","414","408","329","398","476","478","642","528","546","550","541","601","478","534","542","558","563","519","545","592","579","628","594","586","633","539","576","617","557","579","572","534","483","708","919","980","1,228","959","1,121","1,136","1,102","1,236","1,168","1,283","1,011","1,126","1,151","1,128","1,144","1,207","1,189","1,271","1,261","1,169","1,189","1,181","1,242","1,255","1,283","1,353","1,234","1,213","932","6,600","7,150","8,369","9,061","8,629","9,060","9,553","9,311","10,218","9,000","9,434","8,016","9,564","9,589","9,454","9,110","10,066","8,915","11,072","10,214","9,818","9,963","8,992","10,148","10,106","10,047","10,192","9,702","9,708","6,373","1,765","1,956","1,930","2,206","1,946","2,118","2,175","2,103","2,413","2,067","2,118","2,058","2,210","2,424","2,239","2,171","2,300","2,209","2,413","2,388","2,182","2,297","2,208","2,279","2,244","2,247","2,291","2,180","2,245","1,727","2,807","3,367","3,516","4,018","3,375","3,657","3,790","3,651","4,086","3,592","3,681","3,652","3,886","3,876","3,712","3,936","4,249","3,856","4,324","4,256","4,030","4,127","4,031","4,104","4,242","4,254","4,495","3,864","4,155","2,971"
"Reopening businesses 6","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Entrants 7","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Temporary closures 8","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..",".."
"Exits 9","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
E, use with caution


"Table Corrections:"
Date,Note
"","On January 07, 2022 the data for Temporary closures have been corrected."



Footnotes:
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated."
2,"The statistical unit of measures used is the business establishment, which represents a unit of production, such as a factory, store, or head office. By comparison, an enterprise may have many establishments that might operate in different regions and industries. The business counts used for this table are based on establishments within firms to which payroll/employment can be associated in the Survey of Employment Payroll and Hours (SEPH). Establishment refers to the level in the statistical hierarchy of the Business Register at which the accounting data required to measure production are available (principal inputs, revenues, salaries and wages). The establishment is defined as the most homogeneous unit of production for which the business maintains accounting records. From these records, it is possible to assemble all the data elements required to compile the gross value of production (total sales or shipments, and inventories), the cost of materials and services, and labour and capital used in production. For more details, please see: <a href="https://www23.statcan.gc.ca/imdb/p3Var.pl?Function=Unit&Id=23893" rel="external noopener noreferrer" target="_blank">Establishment (opens new window)</a>."
3,"Active businesses are those businesses that reported having one or more employees in a given month."
4,"Opening businesses are businesses that transition from having no employees in the previous month to having at least one employee in the current month. These instances occur when a new, small firm begins, when a large firm opens a new establishment or when a seasonal firm re-opens."
5,"Continuing businesses are businesses that have at least one employee in the previous month and at least one employee in the current month."
6,"Reopening businesses are defined as opening businesses that were also active in a previous month."
7,"Entrants are businesses with employment in the current month that were not active in any previous month in the current or previous year."
8,"A temporary business closure is the difference between closures and exits."
9,"The definition of exits is based on the Longitudinal Employment Analysis Program (LEAP) annual exits. Because the LEAP definition can require up to 24 months of data to be counted as an exit, projections of exits using predicted growth rates are implemented using a regression model of exits on closures of more than 6 months. As a result, there are no published exits in the last six months."



"How to cite: Statistics Canada. Table 33-10-0270-01  Experimental estimates for business openings and closures for Canada, provinces and territories, census metropolitan areas, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310027001
