"Date","Montreal","Ottawa","Toronto","Calgary","Vancouver"
2020-08-01,92.14,100.03,103.6,105.69,101.73
2020-09-01,100.07,101.3,109.3,113.6,105.27
2020-10-01,121.11,114.16,126.95,135.67,126.14
2020-11-01,135.9,128.19,127.17,142.12,138.22
2020-12-01,152.39,139.92,129.4,145.04,145.85
2021-01-01,164.84,129.79,141.8,141.4,179.55
2021-02-01,159.04,107.77,124.33,135.14,152.88
2021-03-01,174.8,131.75,129.44,166.32,162.1
2021-04-01,212.77,135.32,146.76,180.83,179.8
2021-05-01,204.33,111.68,145.15,168.47,156.12
2021-06-01,231.13,147.66,162.72,187.04,169.59
2021-07-01,202.28,197.95,163.21,199.49,186.87
2021-08-01,217.52,215.75,176.29,224.69,198.57
2021-09-01,210.82,216.45,183.16,239.16,213.54
2021-10-01,220.16,189.96,183,195.38,196
2021-11-01,222.04,194.88,181.21,214.99,203.54
2021-12-01,213.08,186.04,189.95,220.39,204.49
2022-01-01,179.39,154.06,167.44,191.55,191.37
2022-02-01,180.66,128.67,155.07,202.64,197.09
2022-03-01,217.14,156.57,188.15,237.67,210.02
2022-04-01,259.68,186.91,211.46,271.57,235.49
2022-05-01,252.7,179.84,213.36,279.01,213.92
2022-06-01,255.08,194.72,224.95,318.01,219.96
2022-07-01,214.27,223.81,215.15,304.3,217.58
2022-08-01,252.05,237.33,219.83,313.54,226.46
2022-09-01,251.08,257.06,231.42,346.81,247.97
2022-10-01,240.12,246,231.5,328.92,239.58
2022-11-01,267.66,267.2,251.22,340.5,269.75
2022-12-01,253.41,245.01,249.9,353.64,258.02
2023-01-01,269.65,228.91,250.49,350.19,272.59
2023-02-01,245.51,196.4,218.38,331.78,259.78
2023-03-01,237.92,213.66,226.56,358.35,259.56
2023-04-01,276.38,244.16,255.5,397.6,287.11
