Date,y,All industries GDP, weekly earnings,House price,New orders,  2 year bond yields,BC  weekly earnings,BC House price
2020/8/1,100.91 ,1901415.00 ,15478130.00 ,104.60 ,49322424.00 ,0.28 ,2126667.00 ,109.70 
2020/9/1,82.12 ,1918805.00 ,15816823.00 ,106.10 ,55488507.00 ,0.26 ,2179716.00 ,111.60 
2020/10/1,95.56 ,1930273.00 ,15994443.00 ,107.30 ,54024272.00 ,0.24 ,2206001.00 ,112.00 
2020/11/1,112.16 ,1943992.00 ,15944465.00 ,108.00 ,52570722.00 ,0.27 ,2217884.00 ,111.90 
2020/12/1,122.92 ,1948654.00 ,15998246.00 ,108.30 ,51295764.00 ,0.25 ,2227694.00 ,112.20 
2021/1/1,129.84 ,1957148.00 ,15871429.00 ,109.30 ,54854977.00 ,0.17 ,2228430.00 ,115.30 
2021/2/1,112.56 ,1961960.00 ,15937714.00 ,111.00 ,49820188.00 ,0.21 ,2238241.00 ,116.30 
2021/3/1,133.24 ,1980323.00 ,16182274.00 ,112.40 ,65620121.00 ,0.26 ,2265744.00 ,115.40 
2021/4/1,139.58 ,1960536.00 ,16316696.00 ,114.30 ,56504012.00 ,0.27 ,2275758.00 ,117.40 
2021/5/1,138.85 ,1950246.00 ,16093201.00 ,116.60 ,60781662.00 ,0.31 ,2257906.00 ,118.40 
2021/6/1,151.61 ,1966023.00 ,16325861.00 ,117.90 ,66361645.00 ,0.37 ,2290109.00 ,118.90 
2021/7/1,153.22 ,1976370.00 ,16622889.00 ,118.60 ,58881840.00 ,0.46 ,2317493.00 ,119.70 
2021/8/1,167.16 ,1987967.00 ,16698888.00 ,119.50 ,62535238.00 ,0.45 ,2323921.00 ,121.00 
2021/9/1,165.77 ,1994605.00 ,16786299.00 ,120.10 ,63171400.00 ,0.44 ,2340533.00 ,122.60 
2021/10/1,166.33 ,2010389.00 ,16906937.00 ,121.40 ,62387910.00 ,0.77 ,2359764.00 ,123.70 
2021/11/1,167.58 ,2019838.00 ,16965821.00 ,122.40 ,67475762.00 ,1.00 ,2367915.00 ,123.90 
2021/12/1,161.58 ,2022291.00 ,17071697.00 ,122.90 ,63829760.00 ,0.98 ,2380542.00 ,126.30 
2022/1/1,147.90 ,2017524.00 ,17080406.00 ,124.30 ,62171045.00 ,1.18 ,2405117.00 ,126.70 
2022/2/1,140.44 ,2031691.00 ,17201778.00 ,126.00 ,65321260.00 ,1.44 ,2419121.00 ,127.60 
2022/3/1,166.20 ,2044994.00 ,17329700.00 ,127.90 ,79026350.00 ,1.84 ,2430748.00 ,127.80 
2022/4/1,188.42 ,2048171.00 ,17466683.00 ,128.60 ,74569100.00 ,2.46 ,2460950.00 ,127.90 
2022/5/1,183.96 ,2052045.00 ,17453089.00 ,129.40 ,73876018.00 ,2.65 ,2458764.00 ,127.90 
2022/6/1,179.32 ,2056669.00 ,17590036.00 ,129.60 ,81011751.00 ,3.15 ,2477387.00 ,128.30 
2022/7/1,168.34 ,2060021.00 ,17619913.00 ,129.60 ,68313185.00 ,3.16 ,2484599.00 ,128.30 
2022/8/1,187.98 ,2064415.00 ,17597732.00 ,129.80 ,74292940.00 ,3.36 ,2483173.00 ,128.30 
2022/9/1,195.63 ,2067420.00 ,17695785.00 ,129.70 ,77048109.00 ,3.73 ,2492125.00 ,127.60 
2022/10/1,199.69 ,2067219.00 ,17692045.00 ,129.40 ,71893358.00 ,4.01 ,2481045.00 ,127.50 
2022/11/1,212.03 ,2070097.00 ,17748354.00 ,129.30 ,72731733.00 ,3.95 ,2500695.00 ,127.40 
2022/12/1,194.49 ,2068257.00 ,17802059.00 ,129.20 ,65701454.00 ,3.81 ,2505461.00 ,126.80 
2023/1/1,221.71 ,2081528.00 ,17877389.00 ,128.90 ,69763755.00 ,3.74 ,2518499.00 ,126.40 
2023/2/1,185.40 ,2082634.00 ,17939897.00 ,128.50 ,65408794.00 ,4.06 ,2532183.00 ,126.30 
