New housing price indexes,Total (house and land)
Aug-20,108.9
Sep-20,111.1
Oct-20,112.5
Nov-20,112.8
Dec-20,112.8
Jan-21,113.1
Feb-21,117.6
Mar-21,118.2
Apr-21,120
May-21,120.9
Jun-21,120.5
Jul-21,120.9
Aug-21,121.5
Sep-21,122.6
Oct-21,123.8
Nov-21,124.7
Dec-21,124.8
Jan-22,127.1
Feb-22,128
Mar-22,128.3
Apr-22,128.6
May-22,128.6
Jun-22,128.7
Jul-22,129.4
Aug-22,129.4
Sep-22,129.4
Oct-22,128.4
Nov-22,128.2
Dec-22,128.2
Jan-23,127.7
Feb-23,127.6
Mar-23,127.6
,
,
,
,
,
"This table replaces table 18-10-0052 which was archived with the release of January 2017 data. Data for periods prior to December 2016 were obtained by linking the current New Housing Price Index (NHPI) series, where possible, to indexes in table 18-10-0052.",
"Beginning in December 2016, several changes have been made to the New Housing Price Index (NHPI). The census metropolitan areas (CMAs) of Kelowna, Guelph, Trois-Rivières and Sherbrooke are included in the NHPI basket. Separate indexes are published for the census metropolitan areas (CMAs) of Toronto, Oshawa, Ottawa-Gatineau (Ontario part), Ottawa-Gatineau (Quebec part) and Greater Sudbury. The New Housing Price Index no longer includes Thunder Bay.",
"The index base period, for which the New Housing Price Index (NHPI) equals 100, is December 2016.",
"New Housing price indexes denoted with the data quality indicator “E”, should be used with caution.",
This table partially replaces 18100169 which has been archived.,
