Geography,Canada,"St. John's, Newfoundland and Labrador","Charlottetown and Summerside, Prince Edward Island","Halifax, Nova Scotia","Saint John, New Brunswick","Québec, Quebec","Montréal, Quebec","Ottawa-Gatineau, Ontario part, Ontario/Quebec 2","Toronto, Ontario","Thunder Bay, Ontario 3","Winnipeg, Manitoba","Regina, Saskatchewan","Saskatoon, Saskatchewan","Edmonton, Alberta 4","Calgary, Alberta 4","Vancouver, British Columbia","Victoria, British Columbia","Whitehorse, Yukon","Yellowknife, Northwest Territories"
Aug-20,104.6,106.7,99.5,94.7,96.9,108.3,109.3,103.3,103.9,116.2,97.8,101.1,102,92.2,97.5,130,127.9,119.9,116.5
Sep-20,104.1,106.6,98.8,94.2,97,107.7,106.6,101.1,101.8,116.4,96.7,102.8,103.6,98.8,104.9,125.9,125,119.8,117.2
Oct-20,102.6,110.3,99.6,94.1,96.8,101.1,105.4,100.1,100.7,116,101.1,97.8,102,92,104.5,122.3,121.6,119.9,120
Nov-20,101.1,112,95.8,91,94.3,103,104.8,98.7,99.3,113.3,95.9,98.4,97.5,90.2,103.7,123.6,119.9,119.9,118.9
Dec-20,104.4,117,101.5,96.5,98.8,107.2,108.7,103.2,103.6,114.6,95.7,99.8,100,94.7,101.9,126.1,120.3,119.9,118.9
Jan-21,111,124.8,109.1,107.5,106.1,114.8,115.4,110.9,110.9,121.4,102.9,104.1,103.8,100.9,102.8,134.6,128,124.1,121.4
Feb-21,118.2,130.8,115.3,115.4,112.3,121.1,122.5,117.7,118.1,125.3,109.2,110.6,110.3,109,111.3,141.2,137.6,127.1,124.3
Mar-21,125,141.6,125.4,125,123.1,128.4,129.1,123.1,123.8,132.9,115.9,120.4,119.7,114.5,117.3,149.6,148.1,132.8,130.4
Apr-21,127.5,141.2,126.2,125.1,125.8,128.7,128.5,125.4,125.9,138.5,122.7,127.9,126.5,119.9,123.6,152.2,148.3,139.8,135.7
May-21,131.5,143.5,129.5,127.6,128.7,133.8,133.8,129.9,130.2,138.5,127.8,127,125.3,123.4,127.3,155.6,154.3,141.6,140.9
Jun-21,133.7,145,130.9,129.2,130.2,134.7,136.4,131.3,132.6,140,127.1,127,126.5,125.6,130.3,161.1,155.2,144.9,143.1
Jul-21,138.4,153.4,137.1,135.4,135.8,137.7,139.7,134.7,136.4,146.2,131.5,131.8,131.3,133,135.6,169.1,167.2,148.9,147.6
Aug-21,139,151.9,136.7,134.1,136.3,139.9,141.2,135.7,137.2,146.7,131.8,131.8,131.3,132.3,135.2,165.6,163.1,154.6,149.8
Sep-21,138.9,153.8,137.5,135.1,137.7,144.6,143.3,136.3,137.9,146.8,131.8,131.8,131.7,129.5,133.1,156.7,156.3,155.8,149.9
Oct-21,146,160.2,143.9,142.4,143.1,150.6,151.6,143.5,145.3,153.7,141.2,141.6,141.3,138.3,140.8,162.4,160.9,155.9,150.6
Nov-21,145.8,159.1,143.5,140.8,146,154.6,152.1,142.6,144.3,153.8,138.7,143.4,143,136,141.9,159.8,158.2,155.9,152.8
Dec-21,140,151.7,134.6,130.7,139.6,149.8,148.3,136,137.7,143.8,130.7,130.8,129.7,130.6,139.5,157.2,152.6,155.9,151.5
Jan-22,146.6,159.2,143.5,141.4,142.2,152.7,155.5,144.3,146.1,149.9,138.5,137,135.7,133.7,138.9,170.5,164.6,157.2,151.5
Feb-22,156.8,170.9,154.8,153.8,153.2,164.5,166.6,156,157.5,157.5,147.1,145.9,145.7,142.2,145.4,177.1,170.1,164.5,158.1
Mar-22,175.2,187.8,172.4,171.1,169.6,181.5,183.7,172,173,186.9,169.8,168.5,168.2,161.7,164.7,198.3,196.6,177,175.6
Apr-22,173.8,189.9,171,169.1,174.4,180.8,181.2,174.3,174.3,187.9,170.9,167.3,167.2,150.5,155.5,198.5,194.1,182.8,174.4
May-22,194.8,215.5,204.5,195.8,194.2,206.6,205.4,198,198,196,183.1,181.4,181.5,163.3,167.4,220.1,217.4,202.2,187
Jun-22,207.2,219.7,214.2,208.1,210.6,219.7,216.5,205.7,205.9,214.4,205.3,203.8,202.9,186,189.5,225.4,225.2,217.1,208.1
Jul-22,187.8,200.4,195.5,187.1,192.1,201,196.8,180.4,180.5,185.7,190.1,191.4,186.5,179.1,183.1,202.4,203,208.5,200
Aug-22,169.6,184.3,180,170.2,177.1,186.8,183.5,165.5,165.6,164.3,169.9,158,153.8,147.3,153,193.2,189,186.6,177.1
Sep-22,156.4,166.8,163.7,153.5,158.5,165.8,160.8,148.7,148.7,164.9,169.2,158.1,155,136.8,144.2,205.7,196.5,186.2,173.9
Oct-22,171.5,180.1,177.1,167.2,168.9,176.3,173.4,164.3,164.3,185.4,184.3,177.8,177.3,163.4,167.1,206.9,211.6,199.9,180.2
Nov-22,165.3,181.2,177,170.2,174.1,179.3,173.3,161.5,161.6,159.1,171.7,162.3,157.1,148.1,149.3,183.5,185.7,186.3,174.1
Dec-22,143.6,157.8,151.2,144,149.5,157.4,151.6,140.6,140.7,140.1,150.8,142.1,140,126.2,124.2,164.1,160.4,174.5,158.7
Jan-23,150.3,165.5,161.8,151.3,157.4,165.1,160.4,148.6,148.6,150.5,147.2,147.9,147.6,127.4,128.6,179.3,173.4,169.6,158
Feb-23,148.5,166.1,162.7,151.4,158.7,161.9,157.9,146,144.6,151.7,153.2,147.9,146.4,123,125.5,183.3,178.6,167.8,160.7
Mar-23,150.3,165.1,160.7,150.1,156.7,162.8,160.1,147.7,145.8,160.7,151.5,155.1,152.7,129,132.2,183,180.9,169.2,162.3
